viz-id ra dec name
0759m312_76.118_-31.205 76.11813407659699 -31.204558482381636 dw0504m3112
0759m322_75.942_-32.330 75.94170894979396 -32.329852702917805 dw0503m3219
0759m322_75.928_-32.127 75.9276106182503 -32.12738286234729 dw0503m3207
0760m317_76.050_-31.781 76.04960126733647 -31.78068104794884 dw0504m3146
0760m320_76.162_-31.914 76.16180701813691 -31.91442750484979 dw0504m3154
0762m312_76.340_-31.312 76.33952232332048 -31.312002752080762 dw0505m3118
0762m322_76.241_-32.363 76.24118243060275 -32.36328599973678 dw0504m3221
0765m315_76.542_-31.486 76.54174162928605 -31.485522919045444 dw0506m3129
0765m322_76.698_-32.170 76.6976113913154 -32.17002211762978 dw0506m3210
0766m317_76.629_-31.746 76.62876041578934 -31.74570194111404 dw0506m3144
0766m320_76.647_-31.911 76.64714479324358 -31.911377009338967 dw0506m3154
0768m312_76.979_-31.149 76.97852058130297 -31.148592794785998 dw0507m3108
0768m315_76.974_-31.552 76.97393959884575 -31.552253557612545 dw0507m3133
0768m315_76.956_-31.440 76.9556865433455 -31.4401625801077 dw0507m3126
0769m317_76.904_-31.771 76.90366026659935 -31.77111092043323 dw0507m3146
0769m317_76.871_-31.753 76.8706862841182 -31.753315272964183 dw0507m3145
0769m320_76.870_-32.056 76.87003156391256 -32.056378941150555 dw0507m3203
0769m320_77.060_-31.936 77.0596378396568 -31.936058098546884 dw0508m3156
0771m312_77.260_-31.307 77.25998241280882 -31.30715315750829 dw0509m3118
0771m315_77.067_-31.593 77.06667980717202 -31.593162682029387 dw0508m3135
0771m315_77.154_-31.436 77.15428497371956 -31.436318076997065 dw0508m3126
0774m315_77.383_-31.425 77.38349406831404 -31.425462612836686 dw0509m3125
0775m317_77.484_-31.626 77.48448977604198 -31.62617598283372 dw0509m3137
