viz-id ra dec
575 129.2524 1.66467
497 182.02981 0.86799
767 141.76349 -0.86877
407 135.39095 2.33731
39 237.04376 43.15677
333 32.27289 -6.30735
235 37.69858 -2.96792
342 31.36609 -6.30172
696 217.22371 -1.18825
47 335.4147 2.83093
691 218.49037 -1.60944
241 35.94019 -3.64859
334 32.7751 -5.15336
562 129.76489 1.1662
403 138.85153 2.68656
579 223.96094 -0.30325
595 217.4679 -0.30042
538 140.64682 1.52314
281 39.14295 -6.6897
12 237.14433 43.72284
746 179.01481 -1.48386
14 245.93591 43.53728
125 338.23251 0.83865
610 214.42901 0.32789
43 237.08858 43.40896
