viz-id ra dec
1 247.28273 43.67173
54 343.35033 2.3909
158 340.25476 -0.83047
164 339.00261 -1.0961
186 334.10578 -0.62179
195 39.00612 -2.4469
252 29.17887 -3.50903
253 30.18053 -3.35473
289 39.86103 -5.66618
293 39.79961 -5.71772
300 36.50578 -6.2914
326 34.67097 -6.87421
381 136.20534 4.80317
398 135.76217 3.48404
408 135.4432 2.76131
421 129.93958 1.85705
426 225.03557 1.52852
526 178.28024 1.12705
570 128.75648 0.93459
606 213.48169 -0.30926
654 132.81382 0.25798
655 131.94981 -0.40069
659 131.2228 -0.26183
663 129.5397 -0.19462
670 224.65565 -1.10244
680 222.31267 -0.7021
685 220.1928 -0.73468
697 215.73797 -1.44183
705 214.44253 -0.72262
713 213.47579 -0.99518
741 180.41871 -1.20433
777 134.89921 -1.95773
