viz-id ra dec
6837 149.7595893 1.9775718
10852 150.694951 1.9673856
27659 150.2182345 1.6325017
33285 149.4683316 2.7414847
33386 150.1302696 2.8897638
37863 150.6973654 1.8389226
38046 149.8412627 1.7541636
40097 150.3072165 2.148669
40915 149.4852915 1.7644933
41137 150.6605735 1.728905
41653 150.0991429 2.3682481
43216 149.9027607 2.2783959
44321 150.0470355 1.6158884
44325 150.3559673 1.7123467
47803 149.8063406 2.823815
51341 149.5314403 1.6786744
56064 150.6368674 2.3321159
56140 149.8826523 2.0968221
56190 150.0910808 2.0041105
58442 150.1007487 2.2950486
67509 149.4890688 1.64938
69467 149.5304835 2.4596792
71545 150.0414562 2.6920897
74983 149.7749607 2.2994566
75388 150.0953542 1.7459822
79468 149.8369665 1.7553276
85793 149.6793679 1.7670093
89823 150.3234957 2.2902727
