viz-id ra dec
0 237.14433 43.72284
1 244.08937 42.38338
2 239.46678 42.31607
3 236.75292 43.11593
4 237.08858 43.40896
5 333.9809 1.66827
6 332.70631 2.17187
7 344.11403 1.37319
8 341.42325 0.51935
9 337.75556 1.07368
10 338.23251 0.83865
11 338.36627 0.60375
12 332.62089 1.52747
13 343.14929 -0.93422
14 341.06342 -0.16356
15 341.13795 -1.08305
16 341.45356 -0.84797
17 341.90176 0.32026
18 336.48503 -0.85877
19 335.31577 -0.9718
20 37.5163 -2.61987
21 34.18806 -2.40234
22 29.74664 -1.8879
23 29.17887 -3.50903
24 39.79961 -5.71772
25 34.67097 -6.87421
26 32.37441 -5.79684
27 30.53206 -6.62505
28 29.18476 -5.90797
29 139.61361 4.27492
30 140.13768 4.93474
31 140.57941 4.01493
32 214.58347 0.86621
33 215.05829 0.72697
34 211.28128 1.05123
35 209.66313 1.23978
36 182.59943 0.89227
37 181.14237 1.3612
38 178.28024 1.12705
39 140.27667 0.93599
40 137.37502 0.9433
41 129.76489 1.1662
42 129.97112 1.07513
43 129.94676 1.74467
44 128.84165 0.68592
45 219.9292 -0.27716
46 182.37821 -0.04736
47 179.86839 -0.30595
48 177.89011 0.10899
49 140.67256 -0.33516
50 139.82383 0.63012
51 135.07231 -0.05214
52 131.25923 -0.22134
53 222.2508 -1.53652
54 217.96066 -1.91558
55 211.2851 -0.64735
56 210.04731 -0.80527
57 183.16556 -0.8165
58 180.72677 -1.66796
59 179.01481 -1.48386
60 179.39688 -1.56429
61 176.1778 -0.97153
62 182.35978 0.99831
63 182.37332 1.24172
64 210.40874 1.17827
65 222.97362 1.04635
66 135.45609 0.33612
67 225.18663 1.0447
68 338.55005 0.32862
69 34.98101 -6.7205
70 212.48932 1.28639
71 181.36293 1.50535
72 334.59352 -0.99358
73 245.93591 43.53728
74 131.93782 -0.36866
75 181.14 1.41592
76 224.96733 1.0843
77 342.02542 0.65
78 214.64201 -0.03644
79 137.74179 3.75587
80 128.35592 0.55107
81 223.81185 -1.57471
82 334.10578 -0.62179
83 246.51249 43.2863
84 221.36319 -1.98061
85 216.18462 -0.57631
86 181.36302 1.05655
87 216.33096 -0.53363
88 237.73868 42.67511
89 335.89923 1.92389
90 183.4025 0.6911
91 128.95622 0.89668
92 335.74514 1.90001
93 135.07948 3.7053
94 343.39287 1.31149
95 217.4104 0.2987
96 32.61332 -3.79085
97 225.31179 0.80777
98 210.40874 1.17827
99 241.51961 44.69582
100 175.52458 0.35283
101 36.3633 -4.96164
102 33.35983 -3.07067
103 211.66693 0.1474
104 39.38754 -6.05048
105 342.88489 -0.97057
106 339.46317 0.52035
107 217.22371 -1.18825
108 344.20923 0.3598
109 29.59924 -5.63899
110 128.47116 -0.39017
111 334.10578 -0.62179
112 221.36319 -1.98061
113 211.65333 0.06548
114 139.98148 1.12327
115 33.35983 -3.07067
116 128.95622 0.89668
117 131.77734 1.32873
118 139.27042 2.27685
119 37.57071 -4.21543
120 182.3007 -1.88665
121 131.60235 2.22306
122 35.34326 -5.42328
123 222.37736 0.74647
124 38.96084 -4.99382
125 34.17093 -3.51542
126 28.95192 -4.66122
127 338.85766 1.41234
128 337.7865 1.16509
129 223.64823 0.46091
130 334.59352 -0.99358
131 176.1407 -0.86678
132 334.43459 1.67551
133 224.90973 1.48513
134 138.98763 0.63054
135 32.08865 -2.39215
136 29.09872 -4.65628
137 36.19941 -3.51751
138 32.83919 -3.64848
139 242.58281 43.01821
140 29.94474 -6.78977
141 243.88821 42.92376
142 181.33561 1.63029
143 340.07532 -0.50839
144 35.44907 -5.65036
145 225.31179 0.80777
146 32.6318 -2.8764
147 225.53224 1.51575
148 343.57143 0.66408
149 34.98101 -6.7205
150 37.69858 -2.96792
151 338.7858 1.17759
152 225.13866 1.38024
153 178.47972 -0.76043
154 39.14295 -6.6897
155 343.57143 0.66408
156 180.72552 -0.04515
157 36.72362 -6.29294
158 221.90519 -0.46199
159 239.49328 43.96829
160 244.63804 43.12177
161 211.73498 0.78616
