# refnum objname RA Dec Equinox pmRA pmDec offset rot RA_probe1 Dec_probe1 Equinox_probe1 RA_probe2 Dec_probe2 Equinox_probe2 pm_epoch
0 EG274 16:23:33.75 -39:13:47.50 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 UDGdw1859m6402 18:59:26.52 -64:02:22.56 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2 UDGdw1903m6405 19:03:39.50 -64:05:54.60 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3 UDGdw1912m6432 19:12:22.87 -64:32:30.84 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 UDG40777 22:29:13.83 -1:12:55.01 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 UDG82230 22:40:41.81 3:10:40.62 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 UDG79982 23:04:59.65 1:50:02.18 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 UDG21534 23:21:26.01 0:27:53.79 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8 UDG75212 2:09:05.52 -6:18:26.54 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 UDG75570 2:11:04.65 -2:59:02.04 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10 UDG45406 2:21:23.96 -5:21:32.17 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11 UDG86749 2:21:38.09 -5:26:31.01 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12 LTT1788 3:48:22.17 -39:08:33.60 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
