# refnum objname RA Dec Equinox pmRA pmDec offset rot RA_probe1 Dec_probe1 Equinox_probe1 RA_probe2 Dec_probe2 Equinox_probe2 pm_epoch
0 EG274 16:23:33.75 -39:13:47.50 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 UDGdw1859m6402 18:59:26.52 -64:02:22.56 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2 UDGdw1903m6405 19:03:39.50 -64:05:54.60 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3 UDGdw1912m6432 19:12:22.87 -64:32:30.84 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 UDG40777 22:29:13.83 -1:12:55.01 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 UDG82230 22:40:41.81 3:10:40.62 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 UDG79982 23:04:59.65 1:50:02.18 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 UDG21534 23:21:26.01 0:27:53.79 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8 UDG75212 2:09:05.52 -6:18:26.54 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 UDG75570 2:11:04.65 -2:59:02.04 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10 UDG45406 2:21:23.96 -5:21:32.17 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11 UDG86749 2:21:38.09 -5:26:31.01 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12 UDGLTT1788 3:48:22.17 -39:08:33.60 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13 UDGdw1859m6402-refstar 18:59:27.42 -64:02:06.79 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14 UDGdw1903m6405-refstar 19:03:40.49 -64:05:51.81 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
15 UDGdw1912m6432-refstar 19:12:25.51 -64:32:22.89 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
16 UDG40777-refstar 22:29:13.61 -1:12:39.24 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
17 UDG82230-refstar 22:40:40.94 3:10:42.60 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
18 UDG79982-refstar 23:04:56.95 1:50:13.92 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
19 UDG21534-refgal 23:21:27.82 0:28:03.36 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
20 UDG75212-refstar 2:09:08.54 -6:18:09.00 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
21 UDG75570-refstar 2:11:05.95 -2:58:31.44 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
22 UDG45406-refstar 2:21:22.75 -5:21:12.96 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
23 86749-refstar 2:21:39.17 -5:27:15.48 2000.0 0.0 0.0 -62.5 HRZ 0.0 0.0 0.0 0.0 0.0 0.0 0.0
