viz-id ra dec g r z

dw1859m6402-offset1 284.9358852 -64.0437194 0 0 0
dw1859m6402-offset2 284.8507607 -64.0270874 0 0 0
dw1859m6402-offset3 284.8326382 -64.0577688 0 0 0

dw1903m6405-offset1 285.9564845 -64.0982065 0 0 0
dw1903m6405-offset2 285.9232709 -64.1088526 0 0 0
dw1903m6405-offset3 285.9376519 -64.0828566 0 0 0

dw1912m6432-offset1 288.1044852 -64.5338346 0 0 0
dw1912m6432-offset2 288.1074271 -64.5497219 0 0 0

40777-offset1 337.3067 -1.2109 19.98 18.39 16.30
40777-offset2 337.2813 -1.2217 17.76 16.42 15.68

82230-offset1 340.1666 3.1682 17.69 16.95 16.54
82230-offset2 340.1617 3.1526 18.95 17.46 15.92

79982-offset1 346.2416 1.8224 18.60 17.79 17.39
79982-offset2 346.2373 1.8372 18.98 18.52 18.32

21534-offset1 350.3705 0.4829 17.81 17.33 17.17
21534-offset2 350.3399 0.4507 18.79 17.74 17.20

75212-offset1 32.2952 -6.2984 15.17 14.60 14.42
75212-offset2 32.2553 -6.3123 19.14 18.78 18.67

75570-offset1g 32.7960 -2.9715 17.48 16.48 15.79
75570-offset2 32.7423 -2.9973 20.81 19.30 18.03

45406-offset1 35.3536 -5.3667 17.59 16.21 15.26
45406-offset2 35.3547 -5.3506 18.50 17.67 17.27

86749-offset1 35.4132 -5.4543 17.69 16.33 15.46
86749-offset2 35.3758 -5.4727 16.63 15.27 14.40
