starname RA Dec Equinox delta_RA delta_Dec
dw1859m6402-refstar 18:59:27.42 -64:02:06.79 2000.0 "5.88 W" "15.77 S"
dw1903m6405-refstar 19:03:40.49 -64:05:51.81 2000.0 "6.45 W" "2.79 S"
dw1912m6432-refstar 19:12:25.51 -64:32:22.89 2000.0 "17.02 W" "7.95 S"
40777-refstar 22:29:13.61 -1:12:39.24 2000.0 "3.37 E" "15.77 S"
82230-refstar 22:40:40.94 3:10:42.60 2000.0 "12.98 E" "1.98 S"
79982-refstar 23:04:56.95 1:50:13.92 2000.0 "40.43 E" "11.74 S"
21534-refgal 23:21:27.82 0:28:03.36 2000.0 "27.11 W" "9.57 S"
75212-refstar 2:09:08.54 -6:18:09.00 2000.0 "45.15 W" "17.54 S"
75570-refstar 2:11:05.95 -2:58:31.44 2000.0 "19.50 W" "30.60 S"
45406-refstar 2:21:22.75 -5:21:12.96 2000.0 "18.09 E" "19.21 S"
86749-refstar 2:21:39.17 -5:27:15.48 2000.0 "16.13 W" "44.46 N"
"
86749-refstar1 2:21:38.45 -5:25:57.36 2000.0 "5.38 W" "33.65 S"
86749-refstar2 2:21:39.17 -5:27:15.48 2000.0 "16.13 W" "44.46 N"
