viz-id ra dec rhalf_spergel_arcsec SB_eff_avg_g g-i dist2host_rvir
69381 29.1199043 -4.5306946 4.72 25.05 0.87 0.2
44517 18.3238671 -0.2380388 5.6 25.61 0.88 0.21
75450 345.9934271 1.8428793 6.31 25.43 1.17 0.26
85963 37.683083 -4.6020238 5.26 25.39 0.95 0.27
81835 16.0426966 -0.8356968 5.8 25.23 0.86 0.29
29808 16.8609663 -0.682905 8.17 25.1 0.93 0.39
73208 18.1948652 -0.4412371 8.0 25.4 0.92 0.48
86113 352.6785044 0.232798 6.17 24.65 0.56 0.5
66859 35.0167471 -6.5756479 5.0 25.47 0.81 0.6
14216 28.9578801 -2.569023 5.04 25.22 0.66 0.8
30269 15.8729353 -0.6637848 5.2 25.17 0.93 0.85
79982 346.2485375 1.8339379 6.96 25.12 0.48 0.86
67181 350.3565304 1.8713322 9.87 24.71 0.71 0.87
27139 347.5482706 2.7355941 4.96 25.02 0.44 0.99
