viz-id	ra	dec	rhalf_spergel_arcsec	SB_eff_avg_g	g-i	host_z	dist2host_rvir	host_spiral	marked
21450	356.0029433	0.4446319	4.86	24.49	0.81	0.023	0.18	1	false
75619	16.8497991	-0.6801767	4.56	24.57	0.83	0.0177	0.35	0	true
27795	344.1060203	-1.2076007	13.07	24.58	0.53	0.0103	0.87	1	true
86113	352.6785044	0.232798	6.17	24.65	0.56	0.0172	0.5	0	true
67181	350.3565304	1.8713322	9.87	24.71	0.71	0.0296	0.87	0	true
27139	347.5482706	2.7355941	4.96	25.02	0.44	0.0326	0.99	1	false
13189	331.7162045	7.0612253	5.43	25.04	0.76	0.0265	0.74	1	false
69381	29.1199043	-4.5306946	4.72	25.05	0.87	0.0177	0.2	1	true
65780	35.7539934	-1.8268286	4.5	25.09	0.77	0.0194	0.52	1	true
29808	16.8609663	-0.682905	8.17	25.1	0.93	0.0177	0.39	0	true
79982	346.2485375	1.8339379	6.96	25.12	0.48	0.0171	0.86	0	true
20009	349.4401578	-1.2776546	4.01	25.13	0.47	0.0297	0.97	0	false
30269	15.8729353	-0.6637848	5.2	25.17	0.93	0.0179	0.85	0	true
14216	28.9578801	-2.569023	5.04	25.22	0.66	0.0296	0.8	0	true
81835	16.0426966	-0.8356968	5.8	25.23	0.86	0.0179	0.29	0	true
21112	17.2550972	2.5033857	4.3	25.31	0.93	0.0398	0.31	1	true
85963	37.683083	-4.6020238	5.26	25.39	0.95	0.0301	0.27	0	true
73208	18.1948652	-0.4412371	8.0	25.4	0.92	0.0188	0.48	0	true
75450	345.9934271	1.8428793	6.31	25.43	1.17	0.0171	0.26	0	true
66859	35.0167471	-6.5756479	5.0	25.47	0.81	0.0182	0.6	0	false
71155	34.7837996	-6.4670433	4.48	25.49	0.89	0.0176	0.44	1	false
81913	29.1123375	-4.3816097	4.72	25.5	0.73	0.0177	0.26	1	false
32633	355.4179851	-1.3854725	4.34	25.54	0.7	0.0225	0.22	1	false
4221	30.0980674	-1.4120926	3.95	25.95	0.94	0.0396	0.21	1	false
83175	39.6883459	-6.8994027	3.89	25.97	0.75	0.0241	0.27	1	false
