viz-id ra dec
dw1859m6402-offset1 284.623778 -64.0009458
dw1859m6402 284.8605 -64.0396
dw1859m6402-offset2 285.0470622 -64.0503762
dw1903m6405 285.9146 -64.0985
dw1903m6405-offset1 285.9232708 -64.1226472
dw1903m6405-offset2 286.0010134 -64.0746317
dw1912m6432-offset2 288.0341543 -64.5718649
dw1912m6432-offset1 288.0554635 -64.5632381
dw1912m6432 288.0953 -64.5419
40777-offset1 337.3067 -1.2109
40777 337.3076356 -1.2152801
40777-offset2 337.348 -1.2038
82230-offset1 340.1666 3.1682
82230 340.1742102 3.1779487
82230-offset2 340.2023 3.1544
79982-offset2 346.2231 1.8689
79982-offset1 346.2416 1.8224
79982 346.2485375 1.8339379
21534 350.35837 0.4649426
21534-offset1 350.3705 0.4829
21534-offset2 350.38 0.4737
75212-offset2 32.2553 -6.3123
75212 32.2729832 -6.3073727
75212-offset1 32.2952 -6.2984
75570 32.7693748 -2.9838995
75570-offset2 32.7933 -3.0199
75570-offset1g 32.796 -2.9715
45406-offset2 35.3224 -5.3563
45406 35.3498461 -5.3589374
45406-offset1 35.3536 -5.3667
86749-offset2 35.3758 -5.4727
86749 35.4086987 -5.4419486
86749-offset1 35.4551 -5.4455
