ra dec
151.1125408 1.8948408
31.8970727 -4.0439644
129.6172269 -2.0361118
18.7058033 1.8020719
217.0244677 -1.6665135
334.136724 3.5017738
338.0062275 0.0164106
18.949017 -0.7763651
127.4878328 -1.2739235
141.3946829 2.3420009
186.1277452 0.0709162
225.5325325 1.5155803
142.6536124 2.0567381
188.2742841 0.8168608
355.9775462 2.7696841
3.3471024 0.7698461
351.2517382 -0.103729
220.7241887 1.3680739
207.8542315 -2.1397243
217.3622571 -0.1367947
349.2471387 2.7597047
344.1060203 -1.2076007
151.3816002 2.6603597
212.431706 -1.8587416
345.8632197 1.7036232
220.1322156 0.6530128
352.6785044 0.232798
18.4748841 2.1251334
140.6059442 3.2594213
210.4747543 -1.3429271
213.7423694 -0.7531567
32.9720927 -2.0534305
20.9089495 -0.5119868
343.3575396 1.4135878
33.0027866 -2.7654882
186.4216006 -2.3956632
347.5482706 2.7355941
128.0464649 -1.1718533
349.4401578 -1.2776546
354.4399628 -0.4228657
28.7171963 -2.578257
174.6692747 -1.038359
32.7693748 -2.9838995
130.6523407 -0.5812324
209.0993934 -0.1308648
209.6914503 -2.2780976
