viz-id ra dec
1984 189.9153345 0.8239197
2098 128.9691719 1.7430692
2592 189.9009497 0.6899155
4420 128.9734787 1.751226
5914 232.0557643 42.8500841
6239 137.2415627 0.5460031
12516 179.5301202 -2.3821372
12572 17.8143783 -0.6172804
13579 129.0043426 1.6626954
14159 39.2677744 -5.2657073
16535 34.5261647 -6.9366995
19727 140.1670862 1.1298399
20492 34.8603795 -6.9239291
22085 29.6788089 -1.4870973
23801 179.6335013 -1.8579121
27406 139.9958749 0.8152666
29808 16.8609663 -0.682905
30269 15.8729353 -0.6637848
32492 18.2921937 -0.205878
34251 352.624557 0.1244857
34784 34.9136927 -6.6575149
39020 345.6394347 1.7372005
39295 30.4735679 -5.6466689
42524 18.1775104 -0.245504
44517 18.3238671 -0.2380388
46552 343.1601467 1.2375356
47537 234.6019568 43.4635936
49108 233.9231418 43.8266542
49570 29.6788344 -1.4871645
52027 135.1029659 3.4610061
52188 34.9516088 -6.7119051
53756 346.0651751 1.7570738
56357 30.2662586 -5.1016688
56868 181.3356613 1.6302415
61186 181.4971913 1.661156
62023 225.2442453 42.2664612
64545 234.2303577 43.7521976
65036 207.8542315 -2.1397243
65599 136.8183299 3.4212751
65780 35.7539934 -1.8268286
66779 232.7964434 42.6081447
66859 35.0167471 -6.5756479
67306 31.4306196 -6.2347311
69381 29.1199043 -4.5306946
70515 139.997289 0.8145094
71155 34.7837996 -6.4670433
73208 18.1948652 -0.4412371
73274 16.1115721 -0.6998966
75450 345.9934271 1.8428793
75619 16.8497991 -0.6801767
78849 18.2255078 -0.2820418
79982 346.2485375 1.8339379
80517 15.8297357 -0.795603
80595 173.2547405 0.7769741
81369 29.4588018 -1.4737921
81835 16.0426966 -0.8356968
81913 29.1123375 -4.3816097
84693 34.5683738 -7.0542598
86113 352.6785044 0.232798
86995 233.738687 43.6229786
