viz-id ra dec
1984 189.9153345 0.8239197
2592 189.9009497 0.6899155
6239 137.2415627 0.5460031
12516 179.5301202 -2.3821372
14159 39.2677744 -5.2657073
15121 139.939191 0.796652
15503 129.1517803 0.4274546
22085 29.6788089 -1.4870973
23801 179.6335013 -1.8579121
27406 139.9958749 0.8152666
27795 344.1060203 -1.2076007
29808 16.8609663 -0.682905
30269 15.8729353 -0.6637848
32492 18.2921937 -0.205878
39295 30.4735679 -5.6466689
44517 18.3238671 -0.2380388
47537 234.6019568 43.4635936
49108 233.9231418 43.8266542
49570 29.6788344 -1.4871645
52188 34.9516088 -6.7119051
56357 30.2662586 -5.1016688
56868 181.3356613 1.6302415
58058 140.6059442 3.2594213
64545 234.2303577 43.7521976
65780 35.7539934 -1.8268286
66779 232.7964434 42.6081447
66859 35.0167471 -6.5756479
69381 29.1199043 -4.5306946
70515 139.997289 0.8145094
71155 34.7837996 -6.4670433
73208 18.1948652 -0.4412371
75450 345.9934271 1.8428793
75619 16.8497991 -0.6801767
78849 18.2255078 -0.2820418
79982 346.2485375 1.8339379
81835 16.0426966 -0.8356968
81913 29.1123375 -4.3816097
86113 352.6785044 0.232798
