viz-id ra dec
325 137.6444381 -1.643094
931 187.668276 0.7457892
1072 210.4747543 -1.3429271
1585 151.5985591 -1.58277
1699 181.9241751 1.5086717
1853 128.8510928 -1.6273562
1984 189.9153345 0.8239197
2030 209.760146 0.1800245
2833 224.936489 43.261311
4032 350.2807156 1.4018211
4221 30.0980674 -1.4120926
4363 176.3969337 -1.8543287
4495 136.012838 3.6234204
4798 187.7942534 0.7947892
4825 334.1251639 3.3505597
5013 234.1374015 43.4097721
5051 150.4133053 -0.1191215
5282 208.3927713 0.0437916
5420 30.7562544 -2.9322754
5436 211.4672309 -0.322666
5978 134.3962502 -0.9673803
6020 182.6151234 0.3754714
6180 350.2869246 0.4609444
6239 137.2415627 0.5460031
6596 332.9626476 2.4711949
6905 349.8666593 1.0649432
6925 136.0306226 3.7067114
7016 238.5183391 42.1270214
8636 176.4964432 -1.7868771
8919 207.8073611 0.3711265
10666 151.6123305 -1.5607194
10939 217.5286671 1.0279449
11065 237.7386258 42.6750964
11287 250.3614156 42.6152683
11607 359.048809 -0.2997508
11660 150.1335405 0.4913382
11959 128.821372 -1.6477051
11962 246.978568 42.7308564
12378 153.2904508 -0.7734453
12516 179.5301202 -2.3821372
12599 3.0335566 -0.0352569
12814 355.085259 -0.1464083
12947 37.2788956 -5.5491473
13292 128.8323203 -1.6135132
13310 330.8042144 2.6483951
14037 247.0151477 42.7283857
14159 39.2677744 -5.2657073
14216 28.9578801 -2.569023
14606 37.6880329 -4.6131428
14961 37.6178024 -4.6015542
14970 235.8325544 44.3945583
15121 139.939191 0.796652
15381 176.3688281 -1.7828649
15401 137.7379873 -1.6240627
16617 131.687802 2.589298
17141 150.055139 0.5430206
17353 189.8480657 0.5123339
17354 338.5564715 3.6202481
17947 350.4126371 1.4732959
18486 153.3340133 -0.7578682
18986 340.5654308 -1.4865748
19021 358.7961708 -1.4294426
19336 345.2538247 1.6960582
19506 149.338715 3.6322522
19656 220.7369959 0.2805017
19784 148.9741011 -1.9189643
19965 131.9197024 2.5007516
20181 341.8600932 0.36369
20316 249.1004272 44.1054426
20492 34.8603795 -6.9239291
20680 330.8205791 2.4860694
20759 176.6397938 -1.8824642
21112 17.2550972 2.5033857
21232 150.0273252 0.7044795
21244 18.7538758 1.8719104
21384 187.7092725 0.4996946
21531 245.7145629 43.7262065
21534 350.35837 0.4649426
21705 211.8246848 -1.5034928
22085 29.6788089 -1.4870973
22086 150.1816206 -1.6186495
22098 343.3575396 1.4135878
22261 128.7726667 -1.7192981
22450 176.3488131 -1.9340071
22494 37.7373152 -4.5493254
22727 250.2900354 42.6818402
23004 135.5864518 3.359657
23419 213.6096989 43.8771216
23552 249.7154972 42.2106738
23801 179.6335013 -1.8579121
23864 128.8573831 -1.7531346
24267 239.0218835 42.178019
24397 30.0203046 -1.371613
24653 152.8763302 0.0590588
24849 354.9096145 0.0223598
25205 220.6865128 1.3641857
25403 356.0084069 2.7986089
25767 358.3242362 0.4670801
25825 356.7936029 -0.6351144
25949 128.9947195 -1.9771523
26053 147.8630292 1.1721012
27139 347.5482706 2.7355941
27183 140.9389902 1.3075308
27792 153.3046973 -0.76197
27799 217.7986521 1.2353161
27808 181.0660181 1.7787631
28438 217.842635 1.1611016
28592 182.5695583 -1.2716345
29123 132.9256924 3.0994927
29144 356.050831 0.5916174
29725 235.8781876 43.8751051
29808 16.8609663 -0.682905
30269 15.8729353 -0.6637848
31011 182.774386 0.9267303
31282 212.3379584 -1.8829271
31355 37.1313649 -4.5186346
32188 182.8155589 1.0632747
32283 154.4599292 -0.4671961
32492 18.2921937 -0.205878
32633 355.4179851 -1.3854725
33007 246.9608114 42.6026543
33327 336.7015595 3.5618856
33394 217.4791213 -0.1297751
34251 352.624557 0.1244857
34311 131.7845692 2.5257379
34603 348.7481347 -0.257293
34727 151.9459388 0.286233
34892 33.4061961 -3.2737541
35129 176.7483324 -1.8969284
35187 128.923493 1.5191539
36359 209.0993934 -0.1308648
36534 350.7495965 1.526119
37163 330.6299425 2.7249314
37424 189.8763873 0.3290996
38086 211.8484571 -1.5866385
38406 128.6695526 -1.8809535
38470 32.830342 -2.2438775
39020 345.6394347 1.7372005
39295 30.4735679 -5.6466689
39452 214.8901103 44.1697529
40485 358.4975099 0.454222
40671 189.787954 0.1451978
40955 236.7330616 43.3536089
41778 176.1998694 -1.9387737
41866 247.9843178 42.7572442
42647 141.5698514 2.0749047
43096 214.8734593 44.2981305
43437 30.5820693 -5.4721779
43741 182.5994417 0.8922457
43956 18.1806646 -0.3868954
44405 150.6245047 0.4011449
44454 152.6265662 -2.0476198
44459 150.1171273 0.7077499
44517 18.3238671 -0.2380388
44647 137.6612718 2.9286251
44841 31.1067459 -2.4864666
44926 131.7773186 1.3287353
45641 244.0894166 42.3833232
45970 209.7128998 0.347501
46552 343.1601467 1.2375356
46914 236.247371 43.5194985
47040 247.0083523 42.5299795
47360 182.5001336 0.6572644
47488 148.9661062 -1.8490858
47537 234.6019568 43.4635936
47559 235.8386923 43.8990532
47949 151.6719826 -1.9107619
48497 222.5483937 0.5137629
48544 349.5518132 0.2170544
48620 349.1290226 2.8331275
48838 38.7226387 -4.4702354
48862 336.6325638 3.6522821
49055 216.9353041 -0.9180076
49108 233.9231418 43.8266542
49148 133.9584554 -2.1903826
49173 154.3311134 -0.4459286
49577 342.7640983 -1.3204592
49614 234.7542845 43.8008217
49813 348.1303359 -1.2106582
50236 148.9472794 -1.8946875
50255 237.4300471 41.8719162
50482 234.4842158 43.8478092
50509 148.6204296 2.3836652
50529 334.1718701 3.4416084
50986 18.8097316 1.9317577
51094 354.4399628 -0.4228657
51113 35.9925196 -6.7617164
51149 130.6523407 -0.5812324
51245 346.2659691 2.5504729
51341 149.5314403 1.6786744
51533 233.8352843 43.4037032
51667 214.5833531 0.8662071
51815 224.1356637 -2.1417639
51967 18.9341818 0.1534645
52188 34.9516088 -6.7119051
52367 188.3240737 0.7395275
52610 358.9174745 -1.2230839
52662 28.7011698 -2.700348
52901 339.8143372 3.180133
52915 153.3371704 -0.742752
52929 332.9704222 2.5129042
53048 233.4724378 43.5678109
53756 346.0651751 1.7570738
54066 30.2846955 -1.3110276
54567 151.4908978 -1.3969897
54618 246.923107 42.6725897
54980 129.0641708 -1.8841501
55052 359.0842782 -0.3619457
55121 330.7335481 2.542297
55341 343.9472881 2.1331672
55342 179.7553824 -1.8056669
55799 129.0420488 -1.9684373
55845 337.9665709 -0.1387029
56235 29.9493215 -1.3540746
56244 175.047269 -0.8938378
56357 30.2662586 -5.1016688
56868 181.3356613 1.6302415
57749 28.5962243 -2.676127
57828 350.2011035 1.198438
58742 181.1897875 1.893508
59075 228.2992188 42.3977059
59274 181.3453669 1.7918258
59510 149.4032465 1.753037
59939 154.4511106 -0.4881878
60180 208.5946012 0.1038167
60199 349.6590957 -1.109922
60310 38.0827163 -1.5049501
60461 132.8650233 3.1167059
60721 18.6993305 2.0122467
60783 348.1586457 -0.1090137
61082 38.9608842 -6.0469832
62008 246.7199285 42.6360878
62121 129.0886275 -1.8818848
62165 348.9708938 -0.699061
62214 134.4607617 -0.2231323
62335 189.7311301 0.2940206
62470 134.6100278 0.0059503
62554 216.8409559 1.1524312
62772 219.4322777 0.2696859
62811 30.7115 -2.8183024
62891 217.5646611 1.0979453
