viz-id ra dec
15503 129.1517803 0.4274546
75028 29.023773 -5.3171829
75450 345.9934271 1.8428793
76754 135.3448214 -1.7284381
81835 16.0426966 -0.8356968
950 151.5577775 2.945039
4825 334.1251639 3.3505597
6876 18.8769156 -0.487297
8193 338.7462629 3.6122788
9916 2.6401607 -0.0657806
12208 2.0386046 -0.8796212
12947 37.2788956 -5.5491473
14606 37.6880329 -4.6131428
19021 358.7961708 -1.4294426
20007 356.3902028 -0.122063
20181 341.8600932 0.36369
21131 32.9720927 -2.0534305
21244 18.7538758 1.8719104
28592 182.5695583 -1.2716345
30495 355.7875349 0.2758299
31335 236.2399027 42.6628845
33098 343.940349 2.0881052
33441 28.6944947 -2.7498458
39733 185.9217933 -1.2768323
42161 332.0111048 -0.9067658
44317 32.895378 -2.8111428
44611 142.8844145 2.0431336
47949 151.6719826 -1.9107619
51815 224.1356637 -2.1417639
53623 336.5308877 0.6800944
57768 222.506885 -0.9219517
60600 39.4492771 -1.9890904
64121 340.283984 3.3309378
67904 184.5192793 -0.6654249
68127 220.8309212 1.0040008
68935 351.1076259 1.5119868
69456 129.6686286 -1.9065278
70671 129.8336564 -2.1835239
70914 333.1058614 2.324287
74709 350.0578716 1.4985529
74838 220.7014568 0.2656618
75138 241.2271144 42.5315297
75879 151.4255474 0.4766238
76038 235.9675626 43.8016756
76692 174.6692747 -1.038359
76694 249.6103425 44.3621488
76781 151.6299395 -1.3531996
77233 128.6988411 -1.7857904
77923 183.1655304 -0.8164852
78916 135.6377767 3.4223099
78957 179.275813 1.1006859
79111 189.6942214 0.5020817
79133 356.7315422 -0.6967246
79706 235.7264079 44.0870932
79892 241.416219 42.5884955
82846 246.5294452 43.5285389
83006 333.6326611 1.0547474
83175 39.6883459 -6.8994027
84101 153.3370736 -0.7436549
84565 334.2623332 3.4099659
85131 131.8358392 2.4439298
88587 221.2180308 0.3856692
88832 18.6619383 1.5904875
89028 237.5614275 41.9401325
89144 334.1663531 3.5038133
89172 148.549505 0.658399
89269 133.9008712 -2.237627
90487 216.4183557 1.6704187
90517 241.1596481 42.5387337
90593 350.2128903 -1.0195483
