viz-id ra dec
1072 210.4747543 -1.3429271
4363 176.3969337 -1.8543287
8636 176.4964432 -1.7868771
27792 153.3046973 -0.76197
36359 209.0993934 -0.1308648
45970 209.7128998 0.347501
48497 222.5483937 0.5137629
51667 214.5833531 0.8662071
52915 153.3371704 -0.742752
60180 208.5946012 0.1038167
62335 189.7311301 0.2940206
62891 217.5646611 1.0979453
72224 218.0710346 -1.1645702
72964 213.6221655 -0.7195451
78957 179.275813 1.1006859
82340 211.2652064 -0.6982816
84101 153.3370736 -0.7436549
87263 212.431706 -1.8587416
