viz-id	ra	dec	marked
325	137.6444381	-1.643094	false
931	187.668276	0.7457892	false
1072	210.4747543	-1.3429271	false
1585	151.5985591	-1.58277	false
1853	128.8510928	-1.6273562	false
1984	189.9153345	0.8239197	false
2030	209.760146	0.1800245	false
2364	187.8979254	0.6321082	false
2510	36.183798	-1.7436156	false
2592	189.9009497	0.6899155	false
3127	338.0626604	-0.0638832	false
4032	350.2807156	1.4018211	false
4221	30.0980674	-1.4120926	false
4363	176.3969337	-1.8543287	false
4495	136.012838	3.6234204	false
4825	334.1251639	3.3505597	false
5051	150.4133053	-0.1191215	false
5978	134.3962502	-0.9673803	false
6020	182.6151234	0.3754714	false
6180	350.2869246	0.4609444	false
6239	137.2415627	0.5460031	false
6876	18.8769156	-0.487297	true
7016	238.5183391	42.1270214	false
8193	338.7462629	3.6122788	false
8762	356.8819606	-0.6206143	false
8919	207.8073611	0.3711265	false
9686	208.1397151	-1.478363	false
9916	2.6401607	-0.0657806	false
10666	151.6123305	-1.5607194	false
10837	129.0340332	-1.8907768	false
10939	217.5286671	1.0279449	true
11065	237.7386258	42.6750964	false
11607	359.048809	-0.2997508	false
11959	128.821372	-1.6477051	false
11962	246.978568	42.7308564	false
12208	2.0386046	-0.8796212	false
12378	153.2904508	-0.7734453	false
12516	179.5301202	-2.3821372	false
12599	3.0335566	-0.0352569	false
12676	151.3972665	-1.6576345	false
12814	355.085259	-0.1464083	false
12947	37.2788956	-5.5491473	false
13070	20.9089495	-0.5119868	false
13189	331.7162045	7.0612253	false
13292	128.8323203	-1.6135132	false
13310	330.8042144	2.6483951	false
14037	247.0151477	42.7283857	false
14159	39.2677744	-5.2657073	false
14216	28.9578801	-2.569023	false
14606	37.6880329	-4.6131428	false
14672	153.6566641	-0.2207142	false
14961	37.6178024	-4.6015542	false
15121	139.939191	0.796652	false
15381	176.3688281	-1.7828649	false
15401	137.7379873	-1.6240627	false
15503	129.1517803	0.4274546	true
16617	131.687802	2.589298	false
17353	189.8480657	0.5123339	false
17354	338.5564715	3.6202481	false
17947	350.4126371	1.4732959	false
18131	209.7509019	-2.374887	false
18486	153.3340133	-0.7578682	false
18986	340.5654308	-1.4865748	false
18988	153.3512285	-0.7582041	true
19021	358.7961708	-1.4294426	false
19656	220.7369959	0.2805017	false
19784	148.9741011	-1.9189643	false
19965	131.9197024	2.5007516	false
20007	356.3902028	-0.122063	false
20009	349.4401578	-1.2776546	false
20181	341.8600932	0.36369	false
20492	34.8603795	-6.9239291	false
20585	233.9540544	43.4604675	false
20835	349.6886177	-0.9982499	true
21112	17.2550972	2.5033857	false
21131	32.9720927	-2.0534305	false
21244	18.7538758	1.8719104	false
21384	187.7092725	0.4996946	false
21450	356.0029433	0.4446319	false
21531	245.7145629	43.7262065	false
21534	350.35837	0.4649426	false
21705	211.8246848	-1.5034928	false
22024	350.1775111	-0.8896998	false
22085	29.6788089	-1.4870973	false
22098	343.3575396	1.4135878	false
22450	176.3488131	-1.9340071	false
22573	339.6821322	3.298443	false
22727	250.2900354	42.6818402	false
23164	176.1812819	-1.5007252	false
23248	148.7804352	0.6188632	false
23284	220.7241887	1.3680739	false
23419	213.6096989	43.8771216	false
23552	249.7154972	42.2106738	false
23801	179.6335013	-1.8579121	false
23864	128.8573831	-1.7531346	false
24072	39.4268118	-1.7864208	false
24133	249.357888	44.3879264	false
24267	239.0218835	42.178019	false
24397	30.0203046	-1.371613	false
24653	152.8763302	0.0590588	false
24849	354.9096145	0.0223598	false
25205	220.6865128	1.3641857	false
25403	356.0084069	2.7986089	false
25767	358.3242362	0.4670801	false
25825	356.7936029	-0.6351144	false
25949	128.9947195	-1.9771523	false
26467	209.4294353	-0.4068203	false
27139	347.5482706	2.7355941	false
27183	140.9389902	1.3075308	false
27681	182.4983234	-0.4671837	false
27784	359.8083842	1.8807654	true
27792	153.3046973	-0.76197	false
27795	344.1060203	-1.2076007	false
27799	217.7986521	1.2353161	false
27808	181.0660181	1.7787631	false
28438	217.842635	1.1611016	false
28592	182.5695583	-1.2716345	false
28914	213.7423694	-0.7531567	false
29110	33.0027866	-2.7654882	false
29144	356.050831	0.5916174	false
29501	335.1944324	-1.1235166	false
29808	16.8609663	-0.682905	false
29860	239.1857194	42.0526799	false
30014	209.6914503	-2.2780976	true
30269	15.8729353	-0.6637848	false
30495	355.7875349	0.2758299	false
30841	334.1886004	2.3179218	false
30918	216.0985112	1.2476788	false
31008	18.4748841	2.1251334	false
31011	182.774386	0.9267303	false
31282	212.3379584	-1.8829271	false
31335	236.2399027	42.6628845	false
31355	37.1313649	-4.5186346	false
31860	236.3851141	44.2117956	false
32188	182.8155589	1.0632747	false
32283	154.4599292	-0.4671961	false
32492	18.2921937	-0.205878	false
32633	355.4179851	-1.3854725	false
33007	246.9608114	42.6026543	false
33098	343.940349	2.0881052	false
33327	336.7015595	3.5618856	false
33362	150.0743975	0.5275728	false
33441	28.6944947	-2.7498458	false
33624	180.7459467	-1.6721875	false
34114	349.2471387	2.7597047	false
34251	352.624557	0.1244857	false
34311	131.7845692	2.5257379	true
34340	186.4216006	-2.3956632	false
34557	358.7294126	-0.9607243	false
34727	151.9459388	0.286233	false
35129	176.7483324	-1.8969284	false
35522	130.0504642	0.0665914	false
36359	209.0993934	-0.1308648	false
37163	330.6299425	2.7249314	false
38086	211.8484571	-1.5866385	false
38406	128.6695526	-1.8809535	false
38470	32.830342	-2.2438775	false
38850	128.6974817	-1.8609797	false
39020	345.6394347	1.7372005	false
39295	30.4735679	-5.6466689	false
39452	214.8901103	44.1697529	false
39733	185.9217933	-1.2768323	false
40671	189.787954	0.1451978	false
40777	337.3076356	-1.2152801	false
