viz-id ra dec
3805 151.1125408 1.8948408
3960 232.3375136 42.6510229
4363 176.3969337 -1.8543287
4825 334.1251639 3.3505597
9401 177.4737381 -1.3107438
9577 31.3658208 -6.301836
13070 20.9089495 -0.5119868
14970 235.8325544 44.3945583
15401 137.7379873 -1.6240627
15503 129.1517803 0.4274546
20009 349.4401578 -1.2776546
20835 349.6886177 -0.9982499
21525 37.8832259 -2.9755214
22098 343.3575396 1.4135878
23284 220.7241887 1.3680739
27139 347.5482706 2.7355941
27792 153.3046973 -0.76197
27795 344.1060203 -1.2076007
28914 213.7423694 -0.7531567
29110 33.0027866 -2.7654882
30014 209.6914503 -2.2780976
31008 18.4748841 2.1251334
34114 349.2471387 2.7597047
34340 186.4216006 -2.3956632
36137 37.0601244 -5.7172875
36359 209.0993934 -0.1308648
39452 214.8901103 44.1697529
40777 337.3076356 -1.2152801
44389 351.2517382 -0.103729
44907 217.3622571 -0.1367947
45970 209.7128998 0.347501
48497 222.5483937 0.5137629
50255 237.4300471 41.8719162
51094 354.4399628 -0.4228657
51149 130.6523407 -0.5812324
51667 214.5833531 0.8662071
52915 153.3371704 -0.742752
56657 249.0627578 43.9215511
57467 249.6515735 42.0120279
59075 228.2992188 42.3977059
60151 241.3123933 42.5402111
60444 223.381323 42.4869583
62335 189.7311301 0.2940206
62470 134.6100278 0.0059503
64839 20.9390541 -0.6135949
65036 207.8542315 -2.1397243
67331 135.2774796 -1.9720504
68047 334.136724 3.5017738
70143 128.6115165 0.1589894
72306 218.8602529 -0.1392529
72381 340.0956961 3.4058887
73761 333.7805989 1.7841616
74709 350.0578716 1.4985529
74926 236.5515589 44.3011158
76692 174.6692747 -1.038359
78734 225.8512903 42.1930661
78872 188.2742841 0.8168608
78957 179.275813 1.1006859
79133 356.7315422 -0.6967246
79982 346.2485375 1.8339379
80769 249.6394793 42.0435916
82230 340.1742102 3.1779487
82340 211.2652064 -0.6982816
84101 153.3370736 -0.7436549
85131 131.8358392 2.4439298
86113 352.6785044 0.232798
87263 212.431706 -1.8587416
88167 128.0464649 -1.1718533
89172 148.549505 0.658399
90517 241.1596481 42.5387337
