viz-id ra dec
64 128.6746326 -1.9037648
407 3.1768662 -0.0281507
1072 210.4747543 -1.3429271
4144 31.8970727 -4.0439644
9499 141.3946829 2.3420009
14647 357.7606556 1.0186201
14681 18.949017 -0.7763651
16420 354.4571287 -0.5881174
18486 153.3340133 -0.7578682
21131 32.9720927 -2.0534305
23511 330.7901171 2.6487016
25657 34.4971174 -4.2758653
27138 129.6172269 -2.0361118
27681 182.4983234 -0.4671837
30623 29.6350621 -1.5861213
31282 212.3379584 -1.8829271
31639 127.4878328 -1.2739235
40344 338.0062275 0.0164106
42044 217.0244677 -1.6665135
47450 208.6634261 -1.7629063
49074 248.8181718 44.1479587
61376 182.4974251 -0.467135
67181 350.3565304 1.8713322
68255 332.8758383 1.9249198
75138 241.2271144 42.5315297
75274 186.1277452 0.0709162
80711 330.8767032 2.6109462
81215 142.6536124 2.0567381
