viz-id ra dec
1072 210.4747543 -1.3429271
2679 2.9976259 -0.3802772
3410 234.5704697 44.0687131
4032 350.2807156 1.4018211
4144 31.8970727 -4.0439644
4221 30.0980674 -1.4120926
4495 136.012838 3.6234204
4825 334.1251639 3.3505597
5013 234.1374015 43.4097721
5051 150.4133053 -0.1191215
5436 211.4672309 -0.322666
8919 207.8073611 0.3711265
9401 177.4737381 -1.3107438
10939 217.5286671 1.0279449
11065 237.7386258 42.6750964
11146 232.3751403 42.8629011
11607 359.048809 -0.2997508
11959 128.821372 -1.6477051
11962 246.978568 42.7308564
12814 355.085259 -0.1464083
12947 37.2788956 -5.5491473
14159 39.2677744 -5.2657073
14216 28.9578801 -2.569023
15381 176.3688281 -1.7828649
15401 137.7379873 -1.6240627
16617 131.687802 2.589298
17353 189.8480657 0.5123339
17947 350.4126371 1.4732959
18486 153.3340133 -0.7578682
18920 330.7747378 2.7291542
18988 153.3512285 -0.7582041
19656 220.7369959 0.2805017
19784 148.9741011 -1.9189643
20492 34.8603795 -6.9239291
20680 330.8205791 2.4860694
20835 349.6886177 -0.9982499
21112 17.2550972 2.5033857
21131 32.9720927 -2.0534305
21244 18.7538758 1.8719104
21384 187.7092725 0.4996946
21531 245.7145629 43.7262065
21705 211.8246848 -1.5034928
22085 29.6788089 -1.4870973
22450 176.3488131 -1.9340071
22727 250.2900354 42.6818402
23552 249.7154972 42.2106738
25205 220.6865128 1.3641857
25657 34.4971174 -4.2758653
25767 358.3242362 0.4670801
25949 128.9947195 -1.9771523
27139 347.5482706 2.7355941
27183 140.9389902 1.3075308
27784 359.8083842 1.8807654
27792 153.3046973 -0.76197
27795 344.1060203 -1.2076007
27799 217.7986521 1.2353161
28438 217.842635 1.1611016
30014 209.6914503 -2.2780976
31639 127.4878328 -1.2739235
32056 140.2767173 0.9358166
32283 154.4599292 -0.4671961
32492 18.2921937 -0.205878
34311 131.7845692 2.5257379
38086 211.8484571 -1.5866385
38470 32.830342 -2.2438775
39020 345.6394347 1.7372005
40344 338.0062275 0.0164106
40671 189.787954 0.1451978
40777 337.3076356 -1.2152801
40955 236.7330616 43.3536089
41712 358.6605134 0.4202219
41778 176.1998694 -1.9387737
43741 182.5994417 0.8922457
44405 150.6245047 0.4011449
44459 150.1171273 0.7077499
44647 137.6612718 2.9286251
44841 31.1067459 -2.4864666
44926 131.7773186 1.3287353
47488 148.9661062 -1.8490858
47949 151.6719826 -1.9107619
48544 349.5518132 0.2170544
48620 349.1290226 2.8331275
49902 29.6352512 -1.5822381
50236 148.9472794 -1.8946875
50255 237.4300471 41.8719162
50482 234.4842158 43.8478092
50509 148.6204296 2.3836652
50529 334.1718701 3.4416084
51094 354.4399628 -0.4228657
51533 233.8352843 43.4037032
51815 224.1356637 -2.1417639
52367 188.3240737 0.7395275
52915 153.3371704 -0.742752
53048 233.4724378 43.5678109
53756 346.0651751 1.7570738
54618 246.923107 42.6725897
55341 343.9472881 2.1331672
55799 129.0420488 -1.9684373
58058 140.6059442 3.2594213
60461 132.8650233 3.1167059
60783 348.1586457 -0.1090137
61739 211.7216341 -1.5675524
62121 129.0886275 -1.8818848
62751 219.7134507 0.0224934
62772 219.4322777 0.2696859
62975 358.3953652 -0.7940742
63430 349.6953481 0.3481734
63988 147.2914653 1.0873331
64670 31.498244 -1.685337
64839 20.9390541 -0.6135949
64915 348.1212601 2.837336
65044 180.7708576 1.2757324
65334 149.1527861 1.8257276
66442 208.3397827 0.4421742
66707 330.8752473 2.4974337
66772 246.8198635 42.6525025
67181 350.3565304 1.8713322
67784 209.8266774 0.1846371
68380 18.6808585 1.9678368
69240 238.7937745 41.8292407
70143 128.6115165 0.1589894
70515 139.997289 0.8145094
72305 247.3400455 42.7479954
72851 148.9203267 -1.876992
73274 16.1115721 -0.6998966
73872 239.1153354 41.8334714
74709 350.0578716 1.4985529
74838 220.7014568 0.2656618
75138 241.2271144 42.5315297
75274 186.1277452 0.0709162
75879 151.4255474 0.4766238
78403 180.7318067 -0.1989152
78735 249.2816143 44.387723
78957 179.275813 1.1006859
79056 350.2807349 1.4006702
79111 189.6942214 0.5020817
79133 356.7315422 -0.6967246
79706 235.7264079 44.0870932
79982 346.2485375 1.8339379
80065 236.1270882 43.4244166
80769 249.6394793 42.0435916
81215 142.6536124 2.0567381
81343 239.1980753 42.3489498
82230 340.1742102 3.1779487
84101 153.3370736 -0.7436549
84314 343.9513523 2.1313012
85131 131.8358392 2.4439298
88587 221.2180308 0.3856692
89269 133.9008712 -2.237627
90517 241.1596481 42.5387337
