viz-id ra dec
463 249.1108532 44.2768071
931 187.668276 0.7457892
1044 33.0692101 -1.9355515
2071 225.2647408 0.4846544
2383 342.9090827 0.2998679
2510 36.183798 -1.7436156
2833 224.936489 43.261311
2937 248.9018458 42.4715612
3127 338.0626604 -0.0638832
4032 350.2807156 1.4018211
4221 30.0980674 -1.4120926
4363 176.3969337 -1.8543287
4495 136.012838 3.6234204
4585 337.6189573 1.1785773
4785 213.6215056 44.5461978
4825 334.1251639 3.3505597
5051 150.4133053 -0.1191215
5188 136.0652485 3.6685308
5785 216.707845 0.8919279
6016 129.7054001 1.4048816
6020 182.6151234 0.3754714
6144 152.6175744 -1.7823821
6332 358.5016711 0.3840869
6507 0.2067426 2.0935434
7016 238.5183391 42.1270214
7372 334.2079861 3.4242712
7591 237.0471559 42.9276504
7675 18.8728207 -0.8402038
8762 356.8819606 -0.6206143
8919 207.8073611 0.3711265
9981 237.0470025 42.9381935
10466 235.7962137 44.1128761
10666 151.6123305 -1.5607194
10693 218.8870077 0.3448698
11168 340.0325552 2.892097
11189 341.2248172 3.3675268
11607 359.048809 -0.2997508
11959 128.821372 -1.6477051
12208 2.0386046 -0.8796212
12599 3.0335566 -0.0352569
12947 37.2788956 -5.5491473
13292 128.8323203 -1.6135132
13310 330.8042144 2.6483951
14037 247.0151477 42.7283857
14216 28.9578801 -2.569023
14534 249.3472792 44.3318174
14961 37.6178024 -4.6015542
15349 335.7490721 2.808333
15381 176.3688281 -1.7828649
15401 137.7379873 -1.6240627
15754 147.4460335 -0.0893099
15961 148.8005788 0.4034912
16617 131.687802 2.589298
17188 339.2766948 1.6207301
17354 338.5564715 3.6202481
17947 350.4126371 1.4732959
18988 153.3512285 -0.7582041
19021 358.7961708 -1.4294426
19106 341.9105812 0.3796756
19561 339.264054 1.588638
19784 148.9741011 -1.9189643
19965 131.9197024 2.5007516
20181 341.8600932 0.36369
20835 349.6886177 -0.9982499
21244 18.7538758 1.8719104
21341 333.6193222 1.124538
21501 247.1299129 42.8560702
21531 245.7145629 43.7262065
21971 36.2019397 -1.7676247
22056 18.6268476 1.5818316
22128 18.850078 -0.870652
22261 128.7726667 -1.7192981
22379 136.0129922 3.6234637
22463 350.7123291 1.4409299
22573 339.6821322 3.298443
22727 250.2900354 42.6818402
22946 183.2903988 -0.8526476
23248 148.7804352 0.6188632
23552 249.7154972 42.2106738
23639 248.9586984 44.4305937
23739 358.4922877 0.3978777
23864 128.8573831 -1.7531346
23919 38.0582988 -1.3972603
24267 239.0218835 42.178019
24397 30.0203046 -1.371613
24640 249.2424463 44.3431727
25170 349.9073726 1.4977276
25205 220.6865128 1.3641857
25320 340.7778476 3.4338961
25949 128.9947195 -1.9771523
26900 130.9546315 2.7289535
27139 347.5482706 2.7355941
27183 140.9389902 1.3075308
27657 348.1479588 -0.1065577
27784 359.8083842 1.8807654
27792 153.3046973 -0.76197
27799 217.7986521 1.2353161
27873 189.7374465 0.3435469
28438 217.842635 1.1611016
29164 133.9983598 -2.1995085
29501 335.1944324 -1.1235166
29725 235.8781876 43.8751051
29739 246.8140545 42.6135702
30198 182.6012656 0.6639082
31162 249.7155866 42.2111852
31282 212.3379584 -1.8829271
32633 355.4179851 -1.3854725
32786 245.4729374 43.5596217
33007 246.9608114 42.6026543
33655 210.5207811 -1.3713121
34311 131.7845692 2.5257379
34727 151.9459388 0.286233
34790 31.9113005 -1.3812445
35129 176.7483324 -1.8969284
35220 34.5144192 -4.3059998
35522 130.0504642 0.0665914
35773 210.943121 -2.1932899
35803 235.7365691 44.0068338
36232 147.354597 1.1453167
36328 332.9058073 0.0341256
36359 209.0993934 -0.1308648
36551 153.3049173 -0.7618322
38086 211.8484571 -1.5866385
38406 128.6695526 -1.8809535
38470 32.830342 -2.2438775
39330 32.8556067 -2.2226501
39350 129.7253579 -1.8120268
40513 249.1092246 44.2737531
40777 337.3076356 -1.2152801
40949 127.7634773 -1.1314688
40955 236.7330616 43.3536089
41290 224.1359956 -2.1427046
41501 142.6534202 2.0641908
41712 358.6605134 0.4202219
41778 176.1998694 -1.9387737
42161 332.0111048 -0.9067658
43096 214.8734593 44.2981305
44405 150.6245047 0.4011449
44454 152.6265662 -2.0476198
44459 150.1171273 0.7077499
44564 211.7059015 -1.7240781
44841 31.1067459 -2.4864666
44926 131.7773186 1.3287353
45308 140.9456314 1.3267041
45942 346.9575869 -0.7955172
46494 220.3524392 0.9038532
46538 339.8165136 3.226669
46914 236.247371 43.5194985
47488 148.9661062 -1.8490858
47559 235.8386923 43.8990532
47624 340.7781262 3.4348027
47753 340.4933037 2.7133969
47949 151.6719826 -1.9107619
48051 28.5987213 -2.7255532
48497 222.5483937 0.5137629
48544 349.5518132 0.2170544
48620 349.1290226 2.8331275
48862 336.6325638 3.6522821
49035 248.0310943 42.6951229
49148 133.9584554 -2.1903826
49153 234.5296833 42.509551
49173 154.3311134 -0.4459286
