viz-id ra dec
931 187.668276 0.7457892
1044 33.0692101 -1.9355515
2071 225.2647408 0.4846544
2383 342.9090827 0.2998679
2510 36.183798 -1.7436156
2833 224.936489 43.261311
3127 338.0626604 -0.0638832
4032 350.2807156 1.4018211
4188 355.085029 -0.1462085
4221 30.0980674 -1.4120926
4363 176.3969337 -1.8543287
4825 334.1251639 3.3505597
5051 150.4133053 -0.1191215
5785 216.707845 0.8919279
6020 182.6151234 0.3754714
6901 349.7197684 -1.0490783
7016 238.5183391 42.1270214
7591 237.0471559 42.9276504
8762 356.8819606 -0.6206143
8919 207.8073611 0.3711265
9490 237.9070091 44.2591973
10480 332.9054344 0.0402309
10666 151.6123305 -1.5607194
10939 217.5286671 1.0279449
11607 359.048809 -0.2997508
11959 128.821372 -1.6477051
12067 359.048789 -0.3004057
12208 2.0386046 -0.8796212
12378 153.2904508 -0.7734453
12599 3.0335566 -0.0352569
12814 355.085259 -0.1464083
12947 37.2788956 -5.5491473
13292 128.8323203 -1.6135132
13310 330.8042144 2.6483951
14037 247.0151477 42.7283857
14216 28.9578801 -2.569023
14961 37.6178024 -4.6015542
15381 176.3688281 -1.7828649
15401 137.7379873 -1.6240627
16617 131.687802 2.589298
17188 339.2766948 1.6207301
17354 338.5564715 3.6202481
17947 350.4126371 1.4732959
19021 358.7961708 -1.4294426
19561 339.264054 1.588638
19719 359.026917 -0.9813741
19784 148.9741011 -1.9189643
19965 131.9197024 2.5007516
20000 176.2847448 -1.7318799
20181 341.8600932 0.36369
21244 18.7538758 1.8719104
21384 187.7092725 0.4996946
21531 245.7145629 43.7262065
21534 350.35837 0.4649426
21971 36.2019397 -1.7676247
22056 18.6268476 1.5818316
22261 128.7726667 -1.7192981
22379 136.0129922 3.6234637
22573 339.6821322 3.298443
22727 250.2900354 42.6818402
23248 148.7804352 0.6188632
23348 341.1960626 3.3849657
23552 249.7154972 42.2106738
23639 248.9586984 44.4305937
23739 358.4922877 0.3978777
23864 128.8573831 -1.7531346
23919 38.0582988 -1.3972603
24267 239.0218835 42.178019
24397 30.0203046 -1.371613
24441 181.1419963 1.8618806
24653 152.8763302 0.0590588
25170 349.9073726 1.4977276
25205 220.6865128 1.3641857
27139 347.5482706 2.7355941
27183 140.9389902 1.3075308
27792 153.3046973 -0.76197
27799 217.7986521 1.2353161
28438 217.842635 1.1611016
28670 32.5554977 -2.828749
29501 335.1944324 -1.1235166
29725 235.8781876 43.8751051
29739 246.8140545 42.6135702
29860 239.1857194 42.0526799
30871 340.1702353 3.2619785
31162 249.7155866 42.2111852
31282 212.3379584 -1.8829271
32633 355.4179851 -1.3854725
32786 245.4729374 43.5596217
33007 246.9608114 42.6026543
33179 350.4927788 1.5447958
33655 210.5207811 -1.3713121
34350 349.6275848 -1.0273069
34727 151.9459388 0.286233
35129 176.7483324 -1.8969284
35220 34.5144192 -4.3059998
35522 130.0504642 0.0665914
36359 209.0993934 -0.1308648
36551 153.3049173 -0.7618322
38086 211.8484571 -1.5866385
38406 128.6695526 -1.8809535
38470 32.830342 -2.2438775
39330 32.8556067 -2.2226501
40400 334.1482078 3.4606525
40671 189.787954 0.1451978
40777 337.3076356 -1.2152801
40949 127.7634773 -1.1314688
41290 224.1359956 -2.1427046
41501 142.6534202 2.0641908
41712 358.6605134 0.4202219
42161 332.0111048 -0.9067658
43096 214.8734593 44.2981305
44405 150.6245047 0.4011449
44454 152.6265662 -2.0476198
44459 150.1171273 0.7077499
44841 31.1067459 -2.4864666
44926 131.7773186 1.3287353
46494 220.3524392 0.9038532
46538 339.8165136 3.226669
46914 236.247371 43.5194985
47488 148.9661062 -1.8490858
47559 235.8386923 43.8990532
47753 340.4933037 2.7133969
47949 151.6719826 -1.9107619
48497 222.5483937 0.5137629
48620 349.1290226 2.8331275
48862 336.6325638 3.6522821
49035 248.0310943 42.6951229
49148 133.9584554 -2.1903826
49153 234.5296833 42.509551
49173 154.3311134 -0.4459286
49813 348.1303359 -1.2106582
50255 237.4300471 41.8719162
50509 148.6204296 2.3836652
50760 340.1747682 3.1774793
50986 18.8097316 1.9317577
51094 354.4399628 -0.4228657
51113 35.9925196 -6.7617164
51149 130.6523407 -0.5812324
51333 211.7263277 -1.5914913
51341 149.5314403 1.6786744
51815 224.1356637 -2.1417639
51967 18.9341818 0.1534645
52136 216.3045272 -2.1631417
52367 188.3240737 0.7395275
52662 28.7011698 -2.700348
52901 339.8143372 3.180133
52915 153.3371704 -0.742752
53048 233.4724378 43.5678109
53623 336.5308877 0.6800944
54066 30.2846955 -1.3110276
54980 129.0641708 -1.8841501
55341 343.9472881 2.1331672
55748 332.8379747 -1.0659889
55799 129.0420488 -1.9684373
56173 152.8761589 0.059004
56235 29.9493215 -1.3540746
57749 28.5962243 -2.676127
58149 18.8968832 -0.8743117
58829 35.9255051 -4.1518467
59026 186.7990211 -1.3565792
59233 34.3619442 -4.2225102
59510 149.4032465 1.753037
59939 154.4511106 -0.4881878
60141 349.7385943 -1.0607135
60199 349.6590957 -1.109922
60295 128.7721518 -1.7188756
60461 132.8650233 3.1167059
60721 18.6993305 2.0122467
60737 130.9254134 2.7315161
60783 348.1586457 -0.1090137
62008 246.7199285 42.6360878
62121 129.0886275 -1.8818848
62214 134.4607617 -0.2231323
62470 134.6100278 0.0059503
62975 358.3953652 -0.7940742
63264 33.3147385 -3.0913053
63430 349.6953481 0.3481734
63988 147.2914653 1.0873331
64252 239.1989358 42.2913304
64670 31.498244 -1.685337
64839 20.9390541 -0.6135949
64915 348.1212601 2.837336
65334 149.1527861 1.8257276
66103 151.6535866 -1.5803674
66442 208.3397827 0.4421742
66707 330.8752473 2.4974337
66772 246.8198635 42.6525025
67784 209.8266774 0.1846371
68824 33.3644239 -3.2440447
69051 355.02015 2.9123696
69456 129.6686286 -1.9065278
69656 239.1990614 42.2684883
70143 128.6115165 0.1589894
72224 218.0710346 -1.1645702
72306 218.8602529 -0.1392529
72329 30.3640709 -1.3161382
72851 148.9203267 -1.876992
73111 341.8840446 0.3969905
73872 239.1153354 41.8334714
74172 349.7213082 -1.0484164
75879 151.4255474 0.4766238
76038 235.9675626 43.8016756
76145 333.1178439 -0.0426512
77222 37.1194604 -4.4839397
78403 180.7318067 -0.1989152
78735 249.2816143 44.387723
78738 210.6479711 -1.311971
79056 350.2807349 1.4006702
79133 356.7315422 -0.6967246
79706 235.7264079 44.0870932
80065 236.1270882 43.4244166
80769 249.6394793 42.0435916
81199 348.1397014 -0.1088001
81328 209.1324516 -0.3165939
81343 239.1980753 42.3489498
81944 182.6314577 -1.3043262
82230 340.1742102 3.1779487
82340 211.2652064 -0.6982816
82983 30.0011521 -1.3527772
83473 331.0667066 4.6234717
83554 28.7151455 -2.6568011
84101 153.3370736 -0.7436549
84314 343.9513523 2.1313012
85545 237.529755 42.0381702
85715 210.6275057 -1.4294535
88330 217.0861626 -1.6053905
88425 176.7481483 -1.8969051
88587 221.2180308 0.3856692
88832 18.6619383 1.5904875
89028 237.5614275 41.9401325
89144 334.1663531 3.5038133
89172 148.549505 0.658399
89236 39.1433236 -5.0025083
89269 133.9008712 -2.237627
89400 30.091711 -1.3821088
