viz-id ra dec
845 146.191102 -0.2419285
931 187.668276 0.7457892
1044 33.0692101 -1.9355515
1215 237.9588061 44.2447618
1336 140.8271381 1.5400332
1585 151.5985591 -1.58277
1853 128.8510928 -1.6273562
1915 236.7716315 42.0681629
2030 209.760146 0.1800245
2071 225.2647408 0.4846544
2456 216.6759841 1.075354
2479 224.6819972 44.4347828
2510 36.183798 -1.7436156
2833 224.936489 43.261311
2896 32.9308542 -2.6960835
3127 338.0626604 -0.0638832
3355 209.7906064 0.268712
3880 355.4492642 -1.3738558
4032 350.2807156 1.4018211
4188 355.085029 -0.1462085
4221 30.0980674 -1.4120926
4363 176.3969337 -1.8543287
4495 136.012838 3.6234204
4509 334.2684072 3.4156213
4785 213.6215056 44.5461978
4798 187.7942534 0.7947892
4825 334.1251639 3.3505597
4890 38.6561472 -4.3341185
5051 150.4133053 -0.1191215
5087 34.4208311 -4.1671737
5282 208.3927713 0.0437916
5420 30.7562544 -2.9322754
5436 211.4672309 -0.322666
5741 330.6246276 2.3763177
6020 182.6151234 0.3754714
6596 332.9626476 2.4711949
6675 30.2754303 -1.3742687
6795 128.7701689 -1.9641904
6830 38.96065 -6.0460869
6905 349.8666593 1.0649432
6925 136.0306226 3.7067114
7016 238.5183391 42.1270214
7093 176.2700727 -1.8036074
8418 248.9149469 42.4731404
8759 220.6403738 0.8633813
8919 207.8073611 0.3711265
9519 237.2871973 42.0144675
10666 151.6123305 -1.5607194
11168 340.0325552 2.892097
11287 250.3614156 42.6152683
11607 359.048809 -0.2997508
11660 150.1335405 0.4913382
11959 128.821372 -1.6477051
12208 2.0386046 -0.8796212
12238 237.2114072 42.8147505
12315 221.0535854 -0.0659884
12378 153.2904508 -0.7734453
12512 223.5403992 42.3926619
12599 3.0335566 -0.0352569
12676 151.3972665 -1.6576345
12740 249.2733357 44.3851643
12814 355.085259 -0.1464083
13490 220.9903086 0.0838347
13504 359.0432939 -1.2860525
13578 152.0322086 0.1990487
13672 348.013605 -1.5231497
14037 247.0151477 42.7283857
14216 28.9578801 -2.569023
14961 37.6178024 -4.6015542
15224 149.994928 1.1468805
15290 31.4358707 -1.6535175
15381 176.3688281 -1.7828649
15401 137.7379873 -1.6240627
15829 218.0757375 0.8366652
16048 237.926016 43.7211345
16617 131.687802 2.589298
16960 222.5111053 0.5625409
17141 150.055139 0.5430206
17188 339.2766948 1.6207301
17353 189.8480657 0.5123339
17354 338.5564715 3.6202481
17859 236.0124743 43.5637075
17869 350.1549052 1.4283487
18077 128.8247303 -1.9937914
18986 340.5654308 -1.4865748
18988 153.3512285 -0.7582041
19010 249.0921436 44.3942771
19313 207.9773813 1.9122402
19656 220.7369959 0.2805017
19853 150.3144843 0.3667367
19864 332.7492147 1.9328608
19965 131.9197024 2.5007516
20181 341.8600932 0.36369
20340 181.2700692 1.7483239
20582 231.5947758 42.3539626
20680 330.8205791 2.4860694
20759 176.6397938 -1.8824642
21232 150.0273252 0.7044795
21244 18.7538758 1.8719104
21383 351.1659964 1.4693333
21384 187.7092725 0.4996946
21501 247.1299129 42.8560702
21531 245.7145629 43.7262065
21534 350.35837 0.4649426
21705 211.8246848 -1.5034928
22086 150.1816206 -1.6186495
22186 179.1243583 1.0728205
22261 128.7726667 -1.7192981
22379 136.0129922 3.6234637
22450 176.3488131 -1.9340071
22494 37.7373152 -4.5493254
22727 250.2900354 42.6818402
22792 247.1858137 42.6654358
23004 135.5864518 3.359657
23177 189.5910245 0.2761459
23248 148.7804352 0.6188632
23452 180.7112991 -0.2678775
23454 28.9591801 -2.7962368
23506 187.8791737 0.5539251
23552 249.7154972 42.2106738
23667 33.4583262 -2.23541
23864 128.8573831 -1.7531346
23890 331.8641917 -0.1272639
24267 239.0218835 42.178019
24356 235.8785202 43.9031628
24397 30.0203046 -1.371613
24441 181.1419963 1.8618806
24653 152.8763302 0.0590588
24755 150.0856822 0.5935619
24849 354.9096145 0.0223598
25205 220.6865128 1.3641857
25644 179.6654317 -1.5442284
25767 358.3242362 0.4670801
25949 128.9947195 -1.9771523
26053 147.8630292 1.1721012
27158 234.9151773 44.4177209
27321 356.1021237 0.248896
27721 236.5255812 43.6689479
27792 153.3046973 -0.76197
27799 217.7986521 1.2353161
28438 217.842635 1.1611016
29123 132.9256924 3.0994927
29144 356.050831 0.5916174
29501 335.1944324 -1.1235166
29631 334.2098052 3.4232787
29725 235.8781876 43.8751051
29739 246.8140545 42.6135702
29860 239.1857194 42.0526799
30282 181.3117058 1.7681872
31162 249.7155866 42.2111852
31282 212.3379584 -1.8829271
31337 2.4250156 -1.469555
32188 182.8155589 1.0632747
32202 187.7088949 0.4976981
32283 154.4599292 -0.4671961
32512 237.94914 44.1736333
32660 217.4507926 -0.1663617
32786 245.4729374 43.5596217
33007 246.9608114 42.6026543
33179 350.4927788 1.5447958
33209 356.2150513 0.5347469
33215 28.9514575 -2.6180384
33327 336.7015595 3.5618856
33394 217.4791213 -0.1297751
33448 30.4857782 -2.8184864
34026 237.3087502 42.0798293
34311 131.7845692 2.5257379
34340 186.4216006 -2.3956632
34421 236.6785115 43.3608896
34727 151.9459388 0.286233
35129 176.7483324 -1.8969284
35185 346.9569884 -0.7927455
35187 128.923493 1.5191539
35213 181.3119232 1.7674113
35220 34.5144192 -4.3059998
35522 130.0504642 0.0665914
35773 210.943121 -2.1932899
35775 181.3104964 1.7675401
35803 235.7365691 44.0068338
36359 209.0993934 -0.1308648
36454 244.3703013 43.5033358
36551 153.3049173 -0.7618322
36902 249.27316 44.3851927
37175 331.7624661 -0.6211574
37424 189.8763873 0.3290996
38086 211.8484571 -1.5866385
38406 128.6695526 -1.8809535
38470 32.830342 -2.2438775
38865 222.516489 0.4057269
39330 32.8556067 -2.2226501
39584 249.0314623 44.3817461
40485 358.4975099 0.454222
40671 189.787954 0.1451978
40777 337.3076356 -1.2152801
40800 223.4682973 42.3399232
40862 239.1988433 42.3496351
40955 236.7330616 43.3536089
41724 36.0002637 -4.155458
41778 176.1998694 -1.9387737
41866 247.9843178 42.7572442
41870 340.9749917 3.4150077
42647 141.5698514 2.0749047
43096 214.8734593 44.2981305
43729 333.6975932 2.0866666
43741 182.5994417 0.8922457
44143 332.9067836 0.0353386
44454 152.6265662 -2.0476198
44647 137.6612718 2.9286251
44841 31.1067459 -2.4864666
44926 131.7773186 1.3287353
45466 37.5217223 -4.7502603
45574 189.7876863 0.1422706
45641 244.0894166 42.3833232
45970 209.7128998 0.347501
