viz-id ra dec
1322 346.9920067 -0.6292987
2151 345.5576357 0.5748965
2420 353.6878346 1.2730085
4365 349.2454373 0.5126942
4449 347.3678131 0.2635113
5295 348.0480424 -1.4816528
5443 347.8710329 -1.0714325
5467 345.6263364 1.2204317
7937 348.134086 1.845412
9599 346.3758086 -0.2876115
9669 345.5473332 1.5839682
11194 348.9269849 0.4672023
12469 345.5232833 -0.3059248
12890 346.4411153 1.3914422
13457 345.9519238 2.018556
13503 347.5351554 1.5168594
13723 348.4693121 2.057689
13965 349.9806174 -0.2678437
14523 350.8765161 0.8556545
14582 348.0103818 -0.3879457
15514 348.5916341 -1.0190239
16146 345.4856894 0.9926655
16209 349.597025 1.0036701
17345 345.7336292 1.5881814
19291 345.7843612 -0.3269352
19821 348.2242694 1.80359
20075 348.7713508 0.9450127
20363 347.1978622 0.3550583
20398 345.903031 1.8648145
20423 345.1855959 1.1504492
20887 346.6454524 -0.3277741
21538 349.3596191 0.9852905
21636 346.0567598 1.1187441
21847 354.7418977 0.2157868
23298 348.7202563 -0.7025365
23866 345.3838444 1.2646762
23954 350.1125931 -0.3063006
24781 354.7970302 1.0223327
24804 354.2773338 -0.0599901
25064 347.9332685 -0.0517943
27744 345.7792368 1.8824504
28352 345.782285 1.9824917
29507 346.3600766 0.8119479
29798 349.0562259 1.4459677
29857 354.543209 0.1085709
30945 354.1542463 0.3254578
32006 350.3880984 0.7490498
32046 345.6402206 2.125229
32116 345.432466 1.7038798
32499 346.8516755 2.0540779
32510 354.5724393 -0.3299187
33222 353.9479091 0.5189174
34065 346.7714347 -0.4231033
35926 348.6578329 1.0921887
36550 346.5256573 -0.0551568
37608 349.9470364 0.7676276
37952 346.3693065 0.2274565
38809 345.5984321 0.8278919
40281 347.5094106 1.0451058
40629 353.8565501 -0.3801226
41813 346.092406 0.4350451
41956 349.0927014 1.0997103
42966 345.9792231 -0.6977499
43349 346.4678375 2.4839788
43403 354.210173 0.9276398
43876 350.0337893 0.4043878
43910 347.6682395 -1.0726673
44963 347.9458488 -0.0531805
45243 347.6455776 -0.8294865
45926 348.6853149 0.0660138
47723 345.9011383 1.7721069
48164 346.117286 -0.2336262
48917 347.304365 0.0360023
49547 346.9472722 1.0102576
49979 346.6400165 -0.7385244
52690 346.2879689 2.1217748
52728 350.6512574 -0.2421432
53022 346.0152035 -0.1417551
53039 346.9606791 0.4923564
53079 345.5175839 2.375405
53363 347.475281 0.0350528
53498 346.9219914 -0.8779658
53823 345.8757858 1.7047821
53868 354.5069296 -0.0843471
54233 350.2169576 0.6772309
55024 353.3536473 -0.4739101
55679 348.869277 0.6744205
56311 349.278811 0.8025572
56341 347.0739848 -0.0892508
57121 345.440317 0.4153095
57629 354.5057121 0.1452879
57719 346.882271 0.9664087
57895 350.2563231 0.7835424
59300 346.463152 0.0430311
59353 345.270096 0.7871489
59593 346.1170607 -1.0571868
59793 350.0436128 -0.0003728
60030 354.6638436 1.0494948
60197 348.3054931 -0.838945
60411 350.2926385 0.8741216
60903 346.7381823 -0.488764
62183 348.3492215 -0.7144083
62423 353.5521464 -0.4963348
62973 347.4141896 -0.7414918
63476 346.1773232 1.8702367
64511 347.3097219 1.8782928
64536 348.1300252 -1.1836061
64639 354.8632827 1.0584427
64787 354.8992063 -0.3369941
64827 345.6436968 1.7311697
65756 353.6344685 -0.1847491
66557 350.4906777 0.857182
66612 354.5384167 0.2265695
66650 348.1065116 0.1955147
67244 346.3157347 0.2447987
67760 348.3343958 0.7835711
70057 349.6502757 0.0484237
71888 350.1581625 0.6691311
72389 353.2403014 1.4192066
72645 353.8051881 0.045978
73443 349.1408887 0.5454136
74086 353.2399377 0.6795777
74100 348.1022334 0.8589378
76543 354.0937745 1.1505576
77426 349.7800949 0.1528782
77780 350.8737649 -0.021981
78455 346.5300525 0.0025552
78470 347.1718682 0.4562866
78996 346.596338 0.828206
79098 347.7188606 -1.1748632
79499 345.1841574 1.1663713
80171 353.986449 0.1417207
80594 350.1338373 -0.1296102
80976 353.5085489 0.5788399
81084 347.3431443 0.2043629
81567 345.0138642 -0.879465
81730 353.8317739 0.0690603
81853 349.6604165 0.5685017
82556 347.948795 0.3323312
84348 353.8206488 -0.4021411
85175 345.940845 2.0510841
85246 353.3607441 -0.3575506
85336 349.1739714 0.9834224
85609 346.4758656 1.3348127
87173 348.5495626 2.1629519
87680 348.5987292 -1.0516556
88305 346.5488882 0.4933881
88369 345.5770042 1.6449681
88825 350.789239 0.5448245
88991 354.2826657 0.211324
90882 348.5300199 -0.5522141
