viz-id ra dec
1670 354.3850441 -0.4595662
2151 345.5576357 0.5748965
2420 353.6878346 1.2730085
4034 347.6850439 -0.9428752
4365 349.2454373 0.5126942
6636 345.6350798 0.8773498
6905 349.8666593 1.0649432
7937 348.134086 1.845412
8119 346.9816992 -0.092004
9579 346.0881484 1.0576333
9669 345.5473332 1.5839682
12469 345.5232833 -0.3059248
13457 345.9519238 2.018556
13965 349.9806174 -0.2678437
14582 348.0103818 -0.3879457
16146 345.4856894 0.9926655
17345 345.7336292 1.5881814
19336 345.2538247 1.6960582
20075 348.7713508 0.9450127
20363 347.1978622 0.3550583
20398 345.903031 1.8648145
20887 346.6454524 -0.3277741
21538 349.3596191 0.9852905
21636 346.0567598 1.1187441
23866 345.3838444 1.2646762
23954 350.1125931 -0.3063006
24781 354.7970302 1.0223327
24804 354.2773338 -0.0599901
24849 354.9096145 0.0223598
26813 354.443532 0.8191113
27058 346.3832573 -0.2338154
32046 345.6402206 2.125229
32116 345.432466 1.7038798
32510 354.5724393 -0.3299187
33222 353.9479091 0.5189174
35926 348.6578329 1.0921887
37038 345.7846672 -0.5358411
38003 348.4197826 0.1444445
38809 345.5984321 0.8278919
41813 346.092406 0.4350451
43349 346.4678375 2.4839788
43876 350.0337893 0.4043878
44963 347.9458488 -0.0531805
48030 350.0376163 1.109642
48164 346.117286 -0.2336262
48700 354.1299795 -0.4954439
51892 350.4363107 1.451703
52728 350.6512574 -0.2421432
53022 346.0152035 -0.1417551
53079 345.5175839 2.375405
53223 348.4660967 -1.1752837
54233 350.2169576 0.6772309
57045 348.2670775 0.2888331
57719 346.882271 0.9664087
57895 350.2563231 0.7835424
59300 346.463152 0.0430311
59353 345.270096 0.7871489
59487 347.6104842 -0.6948368
60411 350.2926385 0.8741216
62165 348.9708938 -0.699061
62231 353.0249359 1.1186498
63898 346.8400547 -0.5163181
64787 354.8992063 -0.3369941
66557 350.4906777 0.857182
67760 348.3343958 0.7835711
68337 349.689031 0.6651734
72389 353.2403014 1.4192066
73027 348.3413085 -1.3502287
74086 353.2399377 0.6795777
75450 345.9934271 1.8428793
75715 345.8309241 -0.551682
77426 349.7800949 0.1528782
77780 350.8737649 -0.021981
78996 346.596338 0.828206
79084 346.6690567 -1.3087087
79499 345.1841574 1.1663713
80594 350.1338373 -0.1296102
80976 353.5085489 0.5788399
81084 347.3431443 0.2043629
81730 353.8317739 0.0690603
81956 345.8632197 1.7036232
85246 353.3607441 -0.3575506
85336 349.1739714 0.9834224
85609 346.4758656 1.3348127
85658 346.9188558 0.2855375
85780 345.9382991 2.2116056
88369 345.5770042 1.6449681
88825 350.789239 0.5448245
88991 354.2826657 0.211324
