viz-id ra dec
217 345.4633885 2.2134347
351 348.7351965 -0.2152005
511 348.0355955 -1.1638272
540 345.2776179 1.9344292
686 347.1767864 -0.3760171
1322 346.9920067 -0.6292987
1725 354.9451466 0.7726313
1816 346.6906325 0.7914485
2111 350.4963127 0.7941724
2151 345.5576357 0.5748965
2398 354.4235536 1.0634804
2420 353.6878346 1.2730085
2498 347.1721428 0.534397
3718 345.800209 1.8230816
3726 349.3467807 0.9790504
4034 347.6850439 -0.9428752
4365 349.2454373 0.5126942
4449 347.3678131 0.2635113
4471 345.9525401 0.9933009
4701 346.0806519 1.7615363
5269 349.4966491 1.413576
5295 348.0480424 -1.4816528
5443 347.8710329 -1.0714325
5467 345.6263364 1.2204317
5481 348.092618 2.4011267
5852 347.8744016 1.0238269
6336 346.0616288 2.1035526
6540 345.4048998 1.2949634
6636 345.6350798 0.8773498
6994 345.777084 1.814819
7356 346.4834742 -1.4130233
7737 347.4099893 -0.8759498
7937 348.134086 1.845412
7983 347.5286137 0.8246536
7984 345.1270073 1.7275005
8119 346.9816992 -0.092004
8123 346.2284067 -0.6752114
9084 347.7902328 0.2021094
9096 348.5616343 -0.0203118
9194 348.4187966 -0.7414504
9579 346.0881484 1.0576333
9599 346.3758086 -0.2876115
9613 345.6419427 2.1956739
9669 345.5473332 1.5839682
9945 350.3229289 -0.4433799
10326 346.0639274 1.8779466
10488 345.9299654 1.9324428
10740 346.1045091 0.1437757
10756 346.8027749 1.1621685
10876 345.2476172 1.5817686
11194 348.9269849 0.4672023
11511 348.5247124 0.2768638
11901 345.9206151 1.3308542
12205 350.2777224 0.9648286
12469 345.5232833 -0.3059248
12890 346.4411153 1.3914422
13047 349.3829521 0.9720155
13457 345.9519238 2.018556
13503 347.5351554 1.5168594
13723 348.4693121 2.057689
13742 347.8961104 1.0951234
13767 346.0495713 0.6059741
13965 349.9806174 -0.2678437
14361 346.3650629 2.2888416
14523 350.8765161 0.8556545
14582 348.0103818 -0.3879457
14758 347.3075647 -1.0664242
15514 348.5916341 -1.0190239
16146 345.4856894 0.9926655
16209 349.597025 1.0036701
16701 349.6929645 1.0395281
16711 346.4590178 1.140189
16944 346.1194668 1.7898106
17345 345.7336292 1.5881814
17509 348.1188079 2.3760563
17621 347.7444681 1.1162349
17808 350.8686226 -0.0382072
18710 348.2129484 0.96059
19291 345.7843612 -0.3269352
19821 348.2242694 1.80359
20075 348.7713508 0.9450127
20363 347.1978622 0.3550583
20398 345.903031 1.8648145
20423 345.1855959 1.1504492
20477 349.2908945 0.7271775
20887 346.6454524 -0.3277741
21006 346.8161085 0.9246587
21495 349.15946 -0.3078219
21518 350.2428213 1.4341744
21538 349.3596191 0.9852905
21636 346.0567598 1.1187441
21696 350.6839277 -0.2041413
21713 349.2633565 1.4216342
21847 354.7418977 0.2157868
21945 346.0163072 1.8146653
22184 353.3909364 0.9757161
22767 345.272089 1.2503866
22846 349.5078156 1.2179963
23107 349.5539898 -0.2095586
23298 348.7202563 -0.7025365
23866 345.3838444 1.2646762
23874 349.9319468 1.1587085
23916 350.2855463 0.5417756
23954 350.1125931 -0.3063006
23955 347.4453221 -0.0470301
24108 346.6617948 0.8285786
24384 349.8757106 0.0942939
24781 354.7970302 1.0223327
24804 354.2773338 -0.0599901
25064 347.9332685 -0.0517943
25398 346.9150787 0.3796515
26016 347.7135611 2.2035278
26152 353.0330718 0.828995
26813 354.443532 0.8191113
27058 346.3832573 -0.2338154
27744 345.7792368 1.8824504
28352 345.782285 1.9824917
28646 346.4569516 1.1441675
28694 347.7537334 -1.2283529
28757 347.7806686 0.5153504
28947 348.8905963 0.249117
29002 345.8227298 2.3416867
29218 347.8966696 0.1040576
29507 346.3600766 0.8119479
29548 350.0121286 -0.089986
29798 349.0562259 1.4459677
29857 354.543209 0.1085709
29998 348.3098653 1.968056
30092 347.4992115 -0.8393456
30107 345.5818933 -0.244715
30183 354.4902339 -0.4726672
30288 348.4385898 1.2463169
30470 353.7438272 1.0638557
30824 354.3993038 -0.4017135
30945 354.1542463 0.3254578
31059 347.9918375 -1.1792318
31309 346.1804551 0.0027364
31426 345.6781691 1.3972456
31537 345.9589182 0.9407932
31665 345.2361477 1.5139504
31689 346.5437048 -1.3417838
31801 346.89019 -0.6407078
32006 350.3880984 0.7490498
32046 345.6402206 2.125229
32116 345.432466 1.7038798
32190 354.9461486 0.4606306
32407 347.6844399 2.1588481
32455 347.3798795 0.7610712
32488 346.3699409 0.9011948
32499 346.8516755 2.0540779
32510 354.5724393 -0.3299187
