viz-id ra dec
21847 354.7418977 0.2157868
23954 350.1125931 -0.3063006
24804 354.2773338 -0.0599901
26443 349.5020667 0.7740093
29857 354.543209 0.1085709
32006 350.3880984 0.7490498
32510 354.5724393 -0.3299187
33222 353.9479091 0.5189174
33696 350.7143067 0.2273405
37608 349.9470364 0.7676276
40629 353.8565501 -0.3801226
41956 349.0927014 1.0997103
43403 354.210173 0.9276398
43876 350.0337893 0.4043878
51892 350.4363107 1.451703
52728 350.6512574 -0.2421432
53868 354.5069296 -0.0843471
54233 350.2169576 0.6772309
56311 349.278811 0.8025572
57629 354.5057121 0.1452879
57895 350.2563231 0.7835424
59793 350.0436128 -0.0003728
60030 354.6638436 1.0494948
60411 350.2926385 0.8741216
63012 349.5743189 -0.4682165
64639 354.8632827 1.0584427
64787 354.8992063 -0.3369941
65756 353.6344685 -0.1847491
66557 350.4906777 0.857182
66612 354.5384167 0.2265695
67921 349.2048221 0.9234316
70057 349.6502757 0.0484237
70283 350.3503729 -0.0349803
71888 350.1581625 0.6691311
72389 353.2403014 1.4192066
73443 349.1408887 0.5454136
74086 353.2399377 0.6795777
76370 350.4901813 1.279798
76543 354.0937745 1.1505576
77426 349.7800949 0.1528782
77780 350.8737649 -0.021981
79385 349.9720671 1.4022908
80171 353.986449 0.1417207
80594 350.1338373 -0.1296102
80976 353.5085489 0.5788399
81730 353.8317739 0.0690603
81853 349.6604165 0.5685017
84348 353.8206488 -0.4021411
85246 353.3607441 -0.3575506
85336 349.1739714 0.9834224
88825 350.789239 0.5448245
88991 354.2826657 0.211324
89225 354.4337965 0.0352458
89665 353.2324206 0.7108219
