viz-id	ra	dec	marked
931	187.668276	0.7457892	false
2071	225.2647408	0.4846544	false
2510	36.183798	-1.7436156	false
4032	350.2807156	1.4018211	false
4221	30.0980674	-1.4120926	false
4363	176.3969337	-1.8543287	false
4495	136.012838	3.6234204	false
4825	334.1251639	3.3505597	false
5051	150.4133053	-0.1191215	false
6305	148.8341084	0.646873	true
7799	148.8338945	0.6469662	true
8919	207.8073611	0.3711265	false
10666	151.6123305	-1.5607194	false
10939	217.5286671	1.0279449	true
11065	237.7386258	42.6750964	false
11168	340.0325552	2.892097	false
11959	128.821372	-1.6477051	false
12208	2.0386046	-0.8796212	false
12378	153.2904508	-0.7734453	false
12947	37.2788956	-5.5491473	false
13292	128.8323203	-1.6135132	false
13310	330.8042144	2.6483951	false
14216	28.9578801	-2.569023	false
14961	37.6178024	-4.6015542	false
15381	176.3688281	-1.7828649	false
16617	131.687802	2.589298	false
17353	189.8480657	0.5123339	false
17947	350.4126371	1.4732959	false
19021	358.7961708	-1.4294426	false
19561	339.264054	1.588638	false
19656	220.7369959	0.2805017	false
19784	148.9741011	-1.9189643	false
19965	131.9197024	2.5007516	false
21244	18.7538758	1.8719104	false
21384	187.7092725	0.4996946	false
21531	245.7145629	43.7262065	false
21534	350.35837	0.4649426	false
22379	136.0129922	3.6234637	false
22573	339.6821322	3.298443	false
23248	148.7804352	0.6188632	false
23552	249.7154972	42.2106738	false
23639	248.9586984	44.4305937	false
23739	358.4922877	0.3978777	false
23864	128.8573831	-1.7531346	false
24267	239.0218835	42.178019	false
24653	152.8763302	0.0590588	false
25170	349.9073726	1.4977276	true
25236	142.3598874	1.8790621	true
26278	336.6816309	3.4906743	false
27183	140.9389902	1.3075308	false
27792	153.3046973	-0.76197	false
27799	217.7986521	1.2353161	false
29739	246.8140545	42.6135702	true
29860	239.1857194	42.0526799	false
30027	332.9127944	1.8611489	true
30675	246.8703293	42.7482928	true
31162	249.7155866	42.2111852	false
31282	212.3379584	-1.8829271	false
32188	182.8155589	1.0632747	false
32633	355.4179851	-1.3854725	false
33007	246.9608114	42.6026543	false
33179	350.4927788	1.5447958	false
33570	151.3867073	0.6136622	true
33655	210.5207811	-1.3713121	true
35129	176.7483324	-1.8969284	false
35220	34.5144192	-4.3059998	false
35773	210.943121	-2.1932899	false
36359	209.0993934	-0.1308648	false
36551	153.3049173	-0.7618322	false
38086	211.8484571	-1.5866385	false
39330	32.8556067	-2.2226501	false
40671	189.787954	0.1451978	false
40777	337.3076356	-1.2152801	false
40955	236.7330616	43.3536089	false
41145	359.144506	-0.7841375	true
41290	224.1359956	-2.1427046	false
44107	33.0046439	-2.1375986	true
44405	150.6245047	0.4011449	false
44459	150.1171273	0.7077499	false
44926	131.7773186	1.3287353	false
47488	148.9661062	-1.8490858	true
47949	151.6719826	-1.9107619	false
48544	349.5518132	0.2170544	false
48620	349.1290226	2.8331275	false
49173	154.3311134	-0.4459286	false
49557	32.5579326	-2.8332171	true
49813	348.1303359	-1.2106582	false
50236	148.9472794	-1.8946875	false
50509	148.6204296	2.3836652	false
50529	334.1718701	3.4416084	false
50760	340.1747682	3.1774793	false
50986	18.8097316	1.9317577	false
51094	354.4399628	-0.4228657	false
51149	130.6523407	-0.5812324	false
51341	149.5314403	1.6786744	false
51815	224.1356637	-2.1417639	false
52136	216.3045272	-2.1631417	false
52367	188.3240737	0.7395275	false
52662	28.7011698	-2.700348	false
52901	339.8143372	3.180133	false
52915	153.3371704	-0.742752	false
53048	233.4724378	43.5678109	false
54980	129.0641708	-1.8841501	false
55341	343.9472881	2.1331672	false
55420	332.8875938	0.0589739	true
55799	129.0420488	-1.9684373	false
56173	152.8761589	0.059004	false
58294	149.4630833	1.7454458	true
58901	355.084834	-0.1453768	false
59939	154.4511106	-0.4881878	false
60199	349.6590957	-1.109922	false
60461	132.8650233	3.1167059	false
60721	18.6993305	2.0122467	false
60737	130.9254134	2.7315161	false
60783	348.1586457	-0.1090137	false
61735	149.4629808	1.7457195	true
62008	246.7199285	42.6360878	false
62121	129.0886275	-1.8818848	false
62214	134.4607617	-0.2231323	false
62470	134.6100278	0.0059503	false
62975	358.3953652	-0.7940742	false
63260	215.8784169	1.7279529	true
63430	349.6953481	0.3481734	false
63988	147.2914653	1.0873331	false
64482	331.95692	-0.2339012	false
64670	31.498244	-1.685337	false
64839	20.9390541	-0.6135949	false
65334	149.1527861	1.8257276	false
66103	151.6535866	-1.5803674	false
66442	208.3397827	0.4421742	false
66707	330.8752473	2.4974337	false
66772	246.8198635	42.6525025	false
67784	209.8266774	0.1846371	false
69656	239.1990614	42.2684883	false
70143	128.6115165	0.1589894	false
72305	247.3400455	42.7479954	false
72306	218.8602529	-0.1392529	true
72329	30.3640709	-1.3161382	false
75879	151.4255474	0.4766238	false
78403	180.7318067	-0.1989152	false
78735	249.2816143	44.387723	false
79056	350.2807349	1.4006702	false
79111	189.6942214	0.5020817	false
79706	235.7264079	44.0870932	false
80065	236.1270882	43.4244166	false
80088	223.4169141	42.4412717	true
80769	249.6394793	42.0435916	false
81261	215.6383485	0.0761702	false
81294	220.737133	0.2800635	false
81328	209.1324516	-0.3165939	false
81343	239.1980753	42.3489498	false
82230	340.1742102	3.1779487	false
82340	211.2652064	-0.6982816	false
83473	331.0667066	4.6234717	false
84101	153.3370736	-0.7436549	false
84314	343.9513523	2.1313012	false
84683	209.1230776	-0.3086225	false
85131	131.8358392	2.4439298	false
85715	210.6275057	-1.4294535	false
88425	176.7481483	-1.8969051	false
88587	221.2180308	0.3856692	false
89269	133.9008712	-2.237627	false
90441	210.3622957	-1.3868548	true
