viz-id ra dec
845 146.191102 -0.2419285
931 187.668276 0.7457892
1585 151.5985591 -1.58277
1853 128.8510928 -1.6273562
2071 225.2647408 0.4846544
2383 342.9090827 0.2998679
2456 216.6759841 1.075354
2510 36.183798 -1.7436156
2720 30.579879 -2.5875239
2833 224.936489 43.261311
2935 36.1936649 -1.717175
3127 338.0626604 -0.0638832
4032 350.2807156 1.4018211
4188 355.085029 -0.1462085
4221 30.0980674 -1.4120926
4363 176.3969337 -1.8543287
4495 136.012838 3.6234204
4798 187.7942534 0.7947892
4825 334.1251639 3.3505597
5051 150.4133053 -0.1191215
5282 208.3927713 0.0437916
5420 30.7562544 -2.9322754
5436 211.4672309 -0.322666
6020 182.6151234 0.3754714
6305 148.8341084 0.646873
6306 340.9941324 3.4429518
6905 349.8666593 1.0649432
6925 136.0306226 3.7067114
7016 238.5183391 42.1270214
7093 176.2700727 -1.8036074
7799 148.8338945 0.6469662
8418 248.9149469 42.4731404
8762 356.8819606 -0.6206143
8919 207.8073611 0.3711265
9733 332.8106442 2.3177155
10666 151.6123305 -1.5607194
10939 217.5286671 1.0279449
11065 237.7386258 42.6750964
11168 340.0325552 2.892097
11660 150.1335405 0.4913382
11959 128.821372 -1.6477051
12208 2.0386046 -0.8796212
12378 153.2904508 -0.7734453
12599 3.0335566 -0.0352569
12676 151.3972665 -1.6576345
12814 355.085259 -0.1464083
12947 37.2788956 -5.5491473
13292 128.8323203 -1.6135132
13310 330.8042144 2.6483951
13490 220.9903086 0.0838347
13504 359.0432939 -1.2860525
13672 348.013605 -1.5231497
14037 247.0151477 42.7283857
14216 28.9578801 -2.569023
14961 37.6178024 -4.6015542
14970 235.8325544 44.3945583
15381 176.3688281 -1.7828649
15401 137.7379873 -1.6240627
15458 131.6354784 2.5190644
16617 131.687802 2.589298
17141 150.055139 0.5430206
17353 189.8480657 0.5123339
17354 338.5564715 3.6202481
17554 218.8313076 -0.0331037
17869 350.1549052 1.4283487
17947 350.4126371 1.4732959
18269 236.2678789 42.3949428
18425 359.0181461 -0.3783853
19021 358.7961708 -1.4294426
19313 207.9773813 1.9122402
19561 339.264054 1.588638
19656 220.7369959 0.2805017
19784 148.9741011 -1.9189643
19965 131.9197024 2.5007516
20759 176.6397938 -1.8824642
21232 150.0273252 0.7044795
21244 18.7538758 1.8719104
21384 187.7092725 0.4996946
21531 245.7145629 43.7262065
21534 350.35837 0.4649426
22056 18.6268476 1.5818316
22261 128.7726667 -1.7192981
22379 136.0129922 3.6234637
22411 183.6502233 0.784083
22450 176.3488131 -1.9340071
22494 37.7373152 -4.5493254
22573 339.6821322 3.298443
23004 135.5864518 3.359657
23177 189.5910245 0.2761459
23248 148.7804352 0.6188632
23506 187.8791737 0.5539251
23552 249.7154972 42.2106738
23639 248.9586984 44.4305937
23739 358.4922877 0.3978777
23864 128.8573831 -1.7531346
23890 331.8641917 -0.1272639
23919 38.0582988 -1.3972603
24267 239.0218835 42.178019
24397 30.0203046 -1.371613
24653 152.8763302 0.0590588
24849 354.9096145 0.0223598
25170 349.9073726 1.4977276
25205 220.6865128 1.3641857
25236 142.3598874 1.8790621
25644 179.6654317 -1.5442284
26053 147.8630292 1.1721012
26278 336.6816309 3.4906743
26891 189.9449782 0.3495481
27183 140.9389902 1.3075308
27321 356.1021237 0.248896
27792 153.3046973 -0.76197
27799 217.7986521 1.2353161
29123 132.9256924 3.0994927
29144 356.050831 0.5916174
29501 335.1944324 -1.1235166
29739 246.8140545 42.6135702
29860 239.1857194 42.0526799
30675 246.8703293 42.7482928
31162 249.7155866 42.2111852
31282 212.3379584 -1.8829271
31407 342.9093245 0.2932009
32188 182.8155589 1.0632747
32633 355.4179851 -1.3854725
33007 246.9608114 42.6026543
33179 350.4927788 1.5447958
33206 226.3062084 42.7726025
33209 356.2150513 0.5347469
33327 336.7015595 3.5618856
33394 217.4791213 -0.1297751
33570 151.3867073 0.6136622
33655 210.5207811 -1.3713121
34311 131.7845692 2.5257379
34340 186.4216006 -2.3956632
34727 151.9459388 0.286233
35127 340.994119 3.4428304
35129 176.7483324 -1.8969284
35187 128.923493 1.5191539
35213 181.3119232 1.7674113
35220 34.5144192 -4.3059998
35522 130.0504642 0.0665914
35773 210.943121 -2.1932899
35775 181.3104964 1.7675401
36359 209.0993934 -0.1308648
36551 153.3049173 -0.7618322
37175 331.7624661 -0.6211574
37424 189.8763873 0.3290996
38086 211.8484571 -1.5866385
38406 128.6695526 -1.8809535
38470 32.830342 -2.2438775
39330 32.8556067 -2.2226501
40485 358.4975099 0.454222
40647 223.3792579 42.4434201
40671 189.787954 0.1451978
40777 337.3076356 -1.2152801
40955 236.7330616 43.3536089
41145 359.144506 -0.7841375
41501 142.6534202 2.0641908
41712 358.6605134 0.4202219
41870 340.9749917 3.4150077
42647 141.5698514 2.0749047
43096 214.8734593 44.2981305
43729 333.6975932 2.0866666
43741 182.5994417 0.8922457
44107 33.0046439 -2.1375986
44405 150.6245047 0.4011449
44454 152.6265662 -2.0476198
44459 150.1171273 0.7077499
44841 31.1067459 -2.4864666
44926 131.7773186 1.3287353
45641 244.0894166 42.3833232
45970 209.7128998 0.347501
46914 236.247371 43.5194985
46998 146.0226431 -0.2552689
47360 182.5001336 0.6572644
47488 148.9661062 -1.8490858
47559 235.8386923 43.8990532
47949 151.6719826 -1.9107619
48263 211.131447 -0.6976734
48497 222.5483937 0.5137629
48544 349.5518132 0.2170544
48620 349.1290226 2.8331275
48725 349.8693336 1.3972572
48838 38.7226387 -4.4702354
48862 336.6325638 3.6522821
49055 216.9353041 -0.9180076
49148 133.9584554 -2.1903826
49153 234.5296833 42.509551
49173 154.3311134 -0.4459286
49557 32.5579326 -2.8332171
49813 348.1303359 -1.2106582
50236 148.9472794 -1.8946875
50509 148.6204296 2.3836652
50529 334.1718701 3.4416084
50760 340.1747682 3.1774793
50986 18.8097316 1.9317577
51094 354.4399628 -0.4228657
51113 35.9925196 -6.7617164
51149 130.6523407 -0.5812324
51341 149.5314403 1.6786744
51667 214.5833531 0.8662071
51815 224.1356637 -2.1417639
51967 18.9341818 0.1534645
52367 188.3240737 0.7395275
52610 358.9174745 -1.2230839
52662 28.7011698 -2.700348
52901 339.8143372 3.180133
52915 153.3371704 -0.742752
52929 332.9704222 2.5129042
53048 233.4724378 43.5678109
53051 330.8705425 2.4538613
53374 214.6389918 1.9685813
54308 340.9365312 3.440514
54383 33.3133418 -3.1861027
54494 219.377913 1.2263936
