viz-id ra dec
931 187.668276 0.7457892
2071 225.2647408 0.4846544
4032 350.2807156 1.4018211
4188 355.085029 -0.1462085
4221 30.0980674 -1.4120926
4363 176.3969337 -1.8543287
5051 150.4133053 -0.1191215
6675 30.2754303 -1.3742687
11959 128.821372 -1.6477051
12814 355.085259 -0.1464083
13292 128.8323203 -1.6135132
14037 247.0151477 42.7283857
14970 235.8325544 44.3945583
15381 176.3688281 -1.7828649
15401 137.7379873 -1.6240627
17947 350.4126371 1.4732959
18077 128.8247303 -1.9937914
19656 220.7369959 0.2805017
19965 131.9197024 2.5007516
21244 18.7538758 1.8719104
21384 187.7092725 0.4996946
21531 245.7145629 43.7262065
22086 150.1816206 -1.6186495
23739 358.4922877 0.3978777
24267 239.0218835 42.178019
25205 220.6865128 1.3641857
27799 217.7986521 1.2353161
29725 235.8781876 43.8751051
32512 237.94914 44.1736333
33007 246.9608114 42.6026543
33394 217.4791213 -0.1297751
34727 151.9459388 0.286233
35129 176.7483324 -1.8969284
38086 211.8484571 -1.5866385
38470 32.830342 -2.2438775
40671 189.787954 0.1451978
40955 236.7330616 43.3536089
41290 224.1359956 -2.1427046
44405 150.6245047 0.4011449
44841 31.1067459 -2.4864666
44926 131.7773186 1.3287353
45970 209.7128998 0.347501
46914 236.247371 43.5194985
47949 151.6719826 -1.9107619
48838 38.7226387 -4.4702354
51149 130.6523407 -0.5812324
51341 149.5314403 1.6786744
51815 224.1356637 -2.1417639
52367 188.3240737 0.7395275
52915 153.3371704 -0.742752
54980 129.0641708 -1.8841501
57828 350.2011035 1.198438
58901 355.084834 -0.1453768
59939 154.4511106 -0.4881878
60199 349.6590957 -1.109922
60461 132.8650233 3.1167059
60721 18.6993305 2.0122467
62121 129.0886275 -1.8818848
62214 134.4607617 -0.2231323
62470 134.6100278 0.0059503
63264 33.3147385 -3.0913053
63430 349.6953481 0.3481734
64482 331.95692 -0.2339012
64638 249.1150584 44.6158209
65334 149.1527861 1.8257276
66772 246.8198635 42.6525025
69656 239.1990614 42.2684883
70143 128.6115165 0.1589894
72306 218.8602529 -0.1392529
74461 176.3440621 -1.8187088
74926 236.5515589 44.3011158
75879 151.4255474 0.4766238
76145 333.1178439 -0.0426512
79056 350.2807349 1.4006702
79133 356.7315422 -0.6967246
79706 235.7264079 44.0870932
80065 236.1270882 43.4244166
81294 220.737133 0.2800635
81343 239.1980753 42.3489498
82230 340.1742102 3.1779487
82983 30.0011521 -1.3527772
83554 28.7151455 -2.6568011
84101 153.3370736 -0.7436549
84314 343.9513523 2.1313012
85545 237.529755 42.0381702
85715 210.6275057 -1.4294535
88425 176.7481483 -1.8969051
88587 221.2180308 0.3856692
89144 334.1663531 3.5038133
89269 133.9008712 -2.237627
90593 350.2128903 -1.0195483
